year,per_capita_personal_income,state
2006,34448,IA
2006,35690,KS
2006,30660,KY
2006,33850,LA
2006,34451,ME
2006,45576,MD
2006,47750,MA
2006,33812,MI
2006,39667,MN
2006,27981,MS
2006,34119,MO
2006,32193,MT
2006,36019,NE
2006,39767,NV
2006,43153,NH
2006,47695,NJ
2006,30597,NM
2006,44128,NY
2006,34385,NC
2006,33357,ND
2006,34214,OH
2006,34854,OK
2006,34716,OR
2006,38109,PA
2006,39028,RI
2006,30984,SC
2006,35299,SD
2006,33065,TN
2006,35630,TX
2006,31327,UT
2006,37008,VT
2006,42385,VA
2006,40027,WA
2006,28704,WV
2006,36338,WI
2006,44492,WY
2006,46440,
2006,43447,
2006,35922,
2006,36012,
2006,34931,
2006,35107,
2006,36186,
2006,40828,
2007,39883,
2007,32739,AL
2007,43906,
2007,35872,AZ
2007,31303,AR
2007,43385,CA
2007,42074,CO
2007,57684,CT
2007,41733,DE
2007,59824,DC
2007,39594,FL
2007,35680,GA
2007,40490,
2007,32707,ID
2007,42513,IL
2007,34055,IN
2007,36680,IA
2007,38057,KS
2007,31728,KY
2007,36432,LA
2007,35686,ME
2007,47327,MD
2007,50085,MA
2007,34929,MI
2007,41655,MN
2007,29554,MS
2007,35502,MO
2007,34183,MT
2007,38531,NE
2007,40212,NV
2007,44695,NH
2007,50473,NJ
2007,31950,NM
2007,47428,NY
2007,36211,NC
2007,36709,ND
2007,35629,OH
2007,35711,OK
2007,35879,OR
2007,40337,PA
2007,40894,RI
2007,32402,SC
2007,38748,SD
2007,34164,TN
2007,37085,TX
2007,33165,UT
2007,38944,VT
2007,44248,VA
2007,42819,WA
2007,29711,WV
2007,37816,WI
2007,46278,WY
2007,48962,
2007,46141,
2007,37418,
2007,38061,
2007,36345,
2007,36448,
2007,37979,
2007,42536,
2008,41026,
2008,33583,AL
2008,47869,
2008,35748,AZ
2008,32306,AR
2008,43567,CA
2008,42953,CO
2008,60970,CT
2008,40894,DE
2008,60887,DC
2008,39401,FL
2008,35438,GA
2008,41969,
2008,32841,ID
2008,43460,IL
2008,35408,IN
2008,38703,IA
2008,41257,KS
2008,33002,KY
2008,38522,LA
2008,37163,ME
2008,49186,MD
2008,51810,MA
2008,35969,MI
2008,43161,MN
2008,30785,MS
2008,37312,MO
2008,35792,MT
2008,40535,NE
2008,38836,NV
2008,45886,NH
2008,51779,NJ
2008,33649,NM
2008,48184,NY
2008,37835,NC
2008,41075,ND
2008,36827,OH
2008,39325,OK
2008,36992,OR
2008,41728,PA
2008,41638,RI
2008,33234,SC
2008,41168,SD
2008,35059,TN
2008,39946,TX
2008,33941,UT
2008,41022,VT
2008,45514,VA
2008,44241,WA
2008,31607,WV
2008,39055,WI
2008,49746,WY
2008,50954,
2008,47272,
2008,38544,
2008,40142,
2008,37086,
2008,38807,
2008,38919,
2008,42945,
2009,39356,
2009,32769,AL
2009,47258,
2009,33524,AZ
2009,31472,AR
2009,41689,CA
2009,40093,CO
2009,59684,CT
2009,40856,DE
2009,60143,DC
2009,36818,FL
2009,34274,GA
2009,41082,
2009,31281,ID
2009,41180,IL
2009,34267,IN
2009,37286,IA
2009,39431,KS
2009,32397,KY
2009,36930,LA
2009,37157,ME
2009,48448,MD
2009,50772,MA
2009,34307,MI
2009,41079,MN
2009,30157,MS
2009,36385,MO
2009,34689,MT
2009,39535,NE
2009,36231,NV
2009,45101,NH
2009,49854,NJ
2009,32911,NM
2009,47027,NY
2009,35933,NC
2009,40212,ND
2009,35755,OH
2009,35917,OK
2009,35313,OR
2009,40530,PA
2009,40610,RI
2009,32010,SC
2009,39518,SD
2009,34446,TN
2009,37269,TX
2009,31858,UT
2009,40479,VT
2009,44087,VA
2009,41591,WA
2009,31718,WV
2009,38182,WI
2009,44564,WY
2009,50011,
2009,46044,
2009,37033,
2009,38687,
2009,35601,
2009,36249,
2009,36485,
2009,40989,
2010,40690,
2010,33963,AL
2010,49654,
2010,33848,AZ
2010,32367,AR
2010,43249,CA
2010,40785,CO
2010,61762,CT
2010,40947,DE
2010,63317,DC
2010,38865,FL
2010,34830,GA
2010,41606,
2010,32106,ID
2010,42294,IL
2010,35699,IN
2010,38320,IA
2010,39968,KS
2010,33414,KY
2010,38243,LA
2010,38115,ME
2010,49691,MD
2010,52919,MA
2010,35769,MI
2010,42734,MN
2010,31284,MS
2010,37118,MO
2010,36398,MT
2010,41260,NE
2010,37487,NV
2010,47108,NH
2010,51131,NJ
2010,33714,NM
2010,48818,NY
2010,35860,NC
2010,44284,ND
2010,36862,OH
2010,37271,OK
2010,36036,OR
2010,42268,PA
2010,42805,RI
2010,32838,SC
2010,41417,SD
2010,35856,TN
2010,39029,TX
2010,32226,UT
2010,41765,VT
2010,45519,VA
2010,42352,WA
2010,32764,WV
2010,39185,WI
2010,46638,WY
2010,52000,
2010,47653,
2010,38254,
2010,39921,
2010,36772,
2010,37674,
2010,37275,
2010,42358,
2011,42783,
2011,35101,AL
2011,52581,
2011,35175,AZ
2011,34253,AR
2011,45574,CA
2011,43635,CO
2011,63229,CT
2011,43990,DE
2011,66735,DC
2011,40482,FL
2011,36849,GA
2011,42976,
2011,33627,ID
2011,44279,IL
2011,37822,IN
2011,41078,IA
2011,43057,KS
2011,34826,KY
2011,39131,LA
2011,39737,ME
2011,51970,MD
2011,54942,MA
2011,37829,MI
2011,45373,MN
2011,32532,MS
2011,38536,MO
2011,38584,MT
2011,45744,NE
2011,38740,NV
2011,49184,NH
2011,53237,NJ
2011,35069,NM
2011,51167,NY
2011,36839,NC
2011,49110,ND
2011,39287,OH
2011,39777,OK
2011,37596,OR
2011,44300,PA
2011,44403,RI
2011,34406,SC
2011,44726,SD
2011,37751,TN
2011,42011,TX
2011,34232,UT
2011,44150,VT
2011,47638,VA
2011,44244,WA
2011,34594,WV
2011,41262,WI
2011,50726,WY
2011,53845,
2011,49899,
2011,40395,
2011,42554,
2011,38357,
2011,40243,
2011,39726,
2011,44501,
2012,44614,
2012,35992,AL
2012,53729,
2012,36272,AZ
2012,36533,AR
2012,48154,CA
2012,45586,CO
2012,64300,CT
2012,44121,DE
2012,67655,DC
2012,41475,FL
2012,37507,GA
2012,44121,
2012,35201,ID
2012,46190,IL
2012,39477,IN
2012,42953,IA
2012,45373,KS
2012,35925,KY
2012,41017,LA
2012,40496,ME
2012,53016,MD
2012,56911,MA
2012,39355,MI
2012,47822,MN
2012,33632,MS
2012,40322,MO
2012,40750,MT
2012,46801,NE
2012,39840,NV
2012,51224,NH
2012,55115,NJ
2012,35793,NM
2012,53599,NY
2012,38984,NC
2012,56671,ND
2012,40837,OH
2012,42188,OK
2012,39370,OR
2012,46022,PA
2012,45978,RI
2012,35852,SC
2012,45384,SD
2012,39418,TN
2012,44193,TX
2012,36085,UT
2012,45588,VT
2012,49366,VA
2012,47357,WA
2012,35478,WV
2012,43043,WI
2012,54104,WY
