state,year,education_level,median_income
Nevada,2015,Regular high school diploma,473687
Nevada,2016,Regular high school diploma,498977
Nevada,2017,Regular high school diploma,511692
Nevada,2018,Regular high school diploma,496764
Nevada,2019,Regular high school diploma,501540
New Hampshire,2008,Regular high school diploma,224980
New Hampshire,2009,Regular high school diploma,231912
New Hampshire,2010,Regular high school diploma,236495
New Hampshire,2011,Regular high school diploma,232985
New Hampshire,2012,Regular high school diploma,233128
New Hampshire,2013,Regular high school diploma,232141
New Hampshire,2014,Regular high school diploma,228002
New Hampshire,2015,Regular high school diploma,225386
New Hampshire,2016,Regular high school diploma,217686
New Hampshire,2017,Regular high school diploma,227076
New Hampshire,2018,Regular high school diploma,228576
New Hampshire,2019,Regular high school diploma,232289
New Jersey,2008,Regular high school diploma,1573798
New Jersey,2009,Regular high school diploma,1583896
New Jersey,2010,Regular high school diploma,1614991
New Jersey,2011,Regular high school diploma,1613814
New Jersey,2012,Regular high school diploma,1585222
New Jersey,2013,Regular high school diploma,1588693
New Jersey,2014,Regular high school diploma,1577888
New Jersey,2015,Regular high school diploma,1602910
New Jersey,2016,Regular high school diploma,1541029
New Jersey,2017,Regular high school diploma,1542650
New Jersey,2018,Regular high school diploma,1481835
New Jersey,2019,Regular high school diploma,1518321
New Mexico,2008,Regular high school diploma,277362
New Mexico,2009,Regular high school diploma,282463
New Mexico,2010,Regular high school diploma,296124
New Mexico,2011,Regular high school diploma,302561
New Mexico,2012,Regular high school diploma,298375
New Mexico,2013,Regular high school diploma,300111
New Mexico,2014,Regular high school diploma,299171
New Mexico,2015,Regular high school diploma,297144
New Mexico,2016,Regular high school diploma,310743
New Mexico,2017,Regular high school diploma,306790
New Mexico,2018,Regular high school diploma,303375
New Mexico,2019,Regular high school diploma,309449
New York,2008,Regular high school diploma,3115089
New York,2009,Regular high school diploma,3151131
New York,2010,Regular high school diploma,3150648
New York,2011,Regular high school diploma,3152002
New York,2012,Regular high school diploma,3081374
New York,2013,Regular high school diploma,3086672
New York,2014,Regular high school diploma,3074611
New York,2015,Regular high school diploma,3085341
New York,2016,Regular high school diploma,3036385
New York,2017,Regular high school diploma,3078045
New York,2018,Regular high school diploma,3003726
New York,2019,Regular high school diploma,2981084
North Carolina,2008,Regular high school diploma,1412377
North Carolina,2009,Regular high school diploma,1410601
North Carolina,2010,Regular high school diploma,1473262
North Carolina,2011,Regular high school diploma,1476234
North Carolina,2012,Regular high school diploma,1475044
North Carolina,2013,Regular high school diploma,1447342
North Carolina,2014,Regular high school diploma,1484395
North Carolina,2015,Regular high school diploma,1483455
North Carolina,2016,Regular high school diploma,1472415
North Carolina,2017,Regular high school diploma,1508979
North Carolina,2018,Regular high school diploma,1504782
North Carolina,2019,Regular high school diploma,1537065
North Dakota,2008,Regular high school diploma,99517
North Dakota,2009,Regular high school diploma,98900
North Dakota,2010,Regular high school diploma,103470
North Dakota,2011,Regular high school diploma,105369
North Dakota,2012,Regular high school diploma,111239
North Dakota,2013,Regular high school diploma,111666
North Dakota,2014,Regular high school diploma,115457
North Dakota,2015,Regular high school diploma,117123
North Dakota,2016,Regular high school diploma,115825
North Dakota,2017,Regular high school diploma,111058
North Dakota,2018,Regular high school diploma,111463
North Dakota,2019,Regular high school diploma,112015
Ohio,2008,Regular high school diploma,2430311
Ohio,2009,Regular high school diploma,2431678
Ohio,2010,Regular high school diploma,2425147
Ohio,2011,Regular high school diploma,2404732
Ohio,2012,Regular high school diploma,2385539
Ohio,2013,Regular high school diploma,2362627
Ohio,2014,Regular high school diploma,2372992
Ohio,2015,Regular high school diploma,2360280
Ohio,2016,Regular high school diploma,2333030
Ohio,2017,Regular high school diploma,2350637
Ohio,2018,Regular high school diploma,2307090
Ohio,2019,Regular high school diploma,2314611
Oklahoma,2008,Regular high school diploma,634144
Oklahoma,2009,Regular high school diploma,633931
Oklahoma,2010,Regular high school diploma,660833
Oklahoma,2011,Regular high school diploma,656408
Oklahoma,2012,Regular high school diploma,662794
Oklahoma,2013,Regular high school diploma,684772
Oklahoma,2014,Regular high school diploma,668381
Oklahoma,2015,Regular high school diploma,681323
Oklahoma,2016,Regular high school diploma,674289
Oklahoma,2017,Regular high school diploma,677688
Oklahoma,2018,Regular high school diploma,687231
Oklahoma,2019,Regular high school diploma,685190
Oregon,2008,Regular high school diploma,547394
Oregon,2009,Regular high school diploma,523306
Oregon,2010,Regular high school diploma,534940
Oregon,2011,Regular high school diploma,545935
Oregon,2012,Regular high school diploma,545481
Oregon,2013,Regular high school diploma,529879
Oregon,2014,Regular high school diploma,541003
Oregon,2015,Regular high school diploma,525568
Oregon,2016,Regular high school diploma,526763
Oregon,2017,Regular high school diploma,547333
Oregon,2018,Regular high school diploma,534813
Oregon,2019,Regular high school diploma,561087
Pennsylvania,2008,Regular high school diploma,2848361
Pennsylvania,2009,Regular high school diploma,2916440
Pennsylvania,2010,Regular high school diploma,2906937
Pennsylvania,2011,Regular high school diploma,2922222
Pennsylvania,2012,Regular high school diploma,2870894
Pennsylvania,2013,Regular high school diploma,2852262
Pennsylvania,2014,Regular high school diploma,2871756
Pennsylvania,2015,Regular high school diploma,2814891
Pennsylvania,2016,Regular high school diploma,2787677
Pennsylvania,2017,Regular high school diploma,2789937
Pennsylvania,2018,Regular high school diploma,2761942
Pennsylvania,2019,Regular high school diploma,2758116
Puerto Rico,2008,Regular high school diploma,516182
Puerto Rico,2009,Regular high school diploma,567089
Puerto Rico,2010,Regular high school diploma,541967
Puerto Rico,2011,Regular high school diploma,573636
Puerto Rico,2012,Regular high school diploma,583325
Puerto Rico,2013,Regular high school diploma,590396
Puerto Rico,2014,Regular high school diploma,608205
Puerto Rico,2015,Regular high school diploma,582643
Puerto Rico,2016,Regular high school diploma,591067
Puerto Rico,2017,Regular high school diploma,593528
Puerto Rico,2018,Regular high school diploma,593674
Puerto Rico,2019,Regular high school diploma,595413
Rhode Island,2008,Regular high school diploma,166836
Rhode Island,2009,Regular high school diploma,166719
Rhode Island,2010,Regular high school diploma,160200
Rhode Island,2011,Regular high school diploma,156391
Rhode Island,2012,Regular high school diploma,165835
Rhode Island,2013,Regular high school diploma,162950
Rhode Island,2014,Regular high school diploma,173794
Rhode Island,2015,Regular high school diploma,171457
Rhode Island,2016,Regular high school diploma,167783
Rhode Island,2017,Regular high school diploma,185518
Rhode Island,2018,Regular high school diploma,176913
Rhode Island,2019,Regular high school diploma,178974
South Carolina,2008,Regular high school diploma,785787
South Carolina,2009,Regular high school diploma,789199
South Carolina,2010,Regular high school diploma,802730
South Carolina,2011,Regular high school diploma,825273
South Carolina,2012,Regular high school diploma,796955
South Carolina,2013,Regular high school diploma,795318
South Carolina,2014,Regular high school diploma,839898
South Carolina,2015,Regular high school diploma,829223
South Carolina,2016,Regular high school diploma,834907
South Carolina,2017,Regular high school diploma,861201
South Carolina,2018,Regular high school diploma,882586
South Carolina,2019,Regular high school diploma,859406
South Dakota,2008,Regular high school diploma,148037
South Dakota,2009,Regular high school diploma,148505
South Dakota,2010,Regular high school diploma,146863
South Dakota,2011,Regular high school diploma,143131
South Dakota,2012,Regular high school diploma,153301
South Dakota,2013,Regular high school diploma,147676
