sa,geo,year,naics_sector,Business Applications,Business Applications from Corporations,Business Formations within Eight Quarters,Business Formations within Four Quarters,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages
A,MN,2018,Total for All NAICS,47550.0,5717.0,,4210.0,16248.0
A,MN,2019,Total for All NAICS,46239.0,5625.0,,,16256.0
A,MN,2020,Total for All NAICS,53349.0,5631.0,,,17869.0
A,MN,2021,Total for All NAICS,64797.0,5979.0,,,21802.0
A,MO,2005,Total for All NAICS,45090.0,9440.0,9327.0,8485.0,23468.0
A,MO,2006,Total for All NAICS,47449.0,9652.0,9007.0,8223.0,24371.0
A,MO,2007,Total for All NAICS,45857.0,8512.0,7329.0,6732.0,22767.0
A,MO,2008,Total for All NAICS,43331.0,5370.0,6164.0,5573.0,18443.0
A,MO,2009,Total for All NAICS,41638.0,4789.0,5888.0,5200.0,17321.0
A,MO,2010,Total for All NAICS,43473.0,4347.0,5877.0,5151.0,17664.0
A,MO,2011,Total for All NAICS,44008.0,3727.0,5946.0,5211.0,17923.0
A,MO,2012,Total for All NAICS,44992.0,3737.0,6148.0,5423.0,18134.0
A,MO,2013,Total for All NAICS,44126.0,3145.0,6339.0,5588.0,17129.0
A,MO,2014,Total for All NAICS,43831.0,3377.0,6546.0,5791.0,17142.0
A,MO,2015,Total for All NAICS,47651.0,3372.0,6673.0,5830.0,17982.0
A,MO,2016,Total for All NAICS,51923.0,3321.0,6543.0,5699.0,18370.0
A,MO,2017,Total for All NAICS,55254.0,3390.0,5854.0,4923.0,18656.0
A,MO,2018,Total for All NAICS,59092.0,3458.0,,5445.0,19033.0
A,MO,2019,Total for All NAICS,59008.0,3562.0,,,19322.0
A,MO,2020,Total for All NAICS,70454.0,3229.0,,,21024.0
A,MO,2021,Total for All NAICS,84268.0,3921.0,,,25777.0
A,MS,2005,Total for All NAICS,19750.0,4318.0,3315.0,3008.0,9980.0
A,MS,2006,Total for All NAICS,22513.0,5091.0,,3138.0,11372.0
A,MS,2007,Total for All NAICS,22404.0,4401.0,3005.0,2735.0,10982.0
A,MS,2008,Total for All NAICS,20485.0,3226.0,2303.0,2092.0,8927.0
A,MS,2009,Total for All NAICS,19743.0,3058.0,2087.0,1859.0,8434.0
A,MS,2010,Total for All NAICS,19977.0,2571.0,2193.0,1947.0,8256.0
A,MS,2011,Total for All NAICS,20578.0,2357.0,2084.0,1852.0,8448.0
A,MS,2012,Total for All NAICS,20140.0,2197.0,2093.0,1852.0,7929.0
A,MS,2013,Total for All NAICS,20572.0,2055.0,,1864.0,8065.0
A,MS,2014,Total for All NAICS,21313.0,2104.0,2127.0,1868.0,8112.0
A,MS,2015,Total for All NAICS,23047.0,2082.0,2145.0,1844.0,8520.0
A,MS,2016,Total for All NAICS,24935.0,2041.0,2090.0,1800.0,8941.0
A,MS,2017,Total for All NAICS,28472.0,2046.0,2024.0,1731.0,9401.0
A,MS,2018,Total for All NAICS,30547.0,1929.0,,1723.0,9425.0
A,MS,2019,Total for All NAICS,31427.0,2166.0,,,10034.0
A,MS,2020,Total for All NAICS,51757.0,2097.0,,,14437.0
A,MS,2021,Total for All NAICS,65423.0,2187.0,,,18902.0
A,MT,2005,Total for All NAICS,11308.0,2952.0,2627.0,2362.0,6117.0
A,MT,2006,Total for All NAICS,11513.0,3035.0,2509.0,2262.0,6423.0
A,MT,2007,Total for All NAICS,10921.0,2798.0,,2019.0,5766.0
A,MT,2008,Total for All NAICS,10386.0,2267.0,,1601.0,4888.0
A,MT,2009,Total for All NAICS,8855.0,1758.0,,1243.0,4029.0
A,MT,2010,Total for All NAICS,9541.0,1757.0,,1291.0,4200.0
A,MT,2011,Total for All NAICS,9772.0,1720.0,,1337.0,4261.0
A,MT,2012,Total for All NAICS,9767.0,1638.0,,1298.0,4187.0
A,MT,2013,Total for All NAICS,9720.0,1625.0,,1338.0,4147.0
A,MT,2014,Total for All NAICS,10075.0,1566.0,,1408.0,4225.0
A,MT,2015,Total for All NAICS,10656.0,1675.0,1672.0,1429.0,4447.0
A,MT,2016,Total for All NAICS,11149.0,1558.0,1610.0,1337.0,4463.0
A,MT,2017,Total for All NAICS,12217.0,1482.0,1650.0,1370.0,4595.0
A,MT,2018,Total for All NAICS,15418.0,1454.0,,1504.0,4767.0
A,MT,2019,Total for All NAICS,14107.0,1376.0,,,4620.0
A,MT,2020,Total for All NAICS,14966.0,1375.0,,,4956.0
A,MT,2021,Total for All NAICS,19037.0,1590.0,,,6230.0
A,MW,2005,Total for All NAICS,457813.0,135173.0,89018.0,79485.0,254532.0
A,MW,2006,Total for All NAICS,468921.0,136151.0,81959.0,72796.0,260217.0
A,MW,2007,Total for All NAICS,472006.0,128908.0,73929.0,66079.0,253426.0
A,MW,2008,Total for All NAICS,468004.0,107246.0,62560.0,55233.0,219117.0
A,MW,2009,Total for All NAICS,465323.0,99335.0,58578.0,50448.0,208190.0
A,MW,2010,Total for All NAICS,470248.0,94190.0,58609.0,50574.0,206362.0
A,MW,2011,Total for All NAICS,475969.0,90785.0,58903.0,50631.0,208425.0
A,MW,2012,Total for All NAICS,472612.0,87417.0,58787.0,50623.0,203389.0
A,MW,2013,Total for All NAICS,464303.0,83216.0,58385.0,49667.0,196886.0
A,MW,2014,Total for All NAICS,463699.0,83790.0,58436.0,49352.0,194987.0
A,MW,2015,Total for All NAICS,482241.0,83641.0,59537.0,50259.0,198341.0
A,MW,2016,Total for All NAICS,499767.0,80323.0,58354.0,48591.0,199104.0
A,MW,2017,Total for All NAICS,539336.0,80987.0,57422.0,47361.0,202120.0
A,MW,2018,Total for All NAICS,591362.0,77798.0,,48465.0,207946.0
A,MW,2019,Total for All NAICS,585530.0,71338.0,,,204531.0
A,MW,2020,Total for All NAICS,759730.0,72915.0,,,241533.0
A,MW,2021,Total for All NAICS,902169.0,79015.0,,,284626.0
A,NC,2005,Total for All NAICS,72475.0,21430.0,14037.0,12424.0,41124.0
A,NC,2006,Total for All NAICS,76952.0,23230.0,13259.0,11700.0,42981.0
A,NC,2007,Total for All NAICS,79739.0,22607.0,12067.0,10764.0,42844.0
A,NC,2008,Total for All NAICS,72607.0,17478.0,9637.0,8396.0,34422.0
A,NC,2009,Total for All NAICS,68524.0,16020.0,9087.0,7798.0,32295.0
A,NC,2010,Total for All NAICS,68879.0,14674.0,8972.0,7743.0,31064.0
A,NC,2011,Total for All NAICS,70816.0,13758.0,8683.0,7477.0,31232.0
A,NC,2012,Total for All NAICS,70588.0,13300.0,8647.0,7454.0,30392.0
A,NC,2013,Total for All NAICS,71332.0,12737.0,8988.0,7596.0,29949.0
A,NC,2014,Total for All NAICS,72306.0,12886.0,9316.0,7764.0,29849.0
A,NC,2015,Total for All NAICS,79584.0,13408.0,9919.0,8338.0,32314.0
A,NC,2016,Total for All NAICS,83270.0,13196.0,10418.0,8699.0,32854.0
A,NC,2017,Total for All NAICS,92026.0,13893.0,10777.0,8897.0,35021.0
A,NC,2018,Total for All NAICS,98708.0,13437.0,,8802.0,35908.0
A,NC,2019,Total for All NAICS,104170.0,13012.0,,,36689.0
A,NC,2020,Total for All NAICS,134704.0,12743.0,,,41456.0
A,NC,2021,Total for All NAICS,172563.0,14166.0,,,52846.0
A,ND,2005,Total for All NAICS,4215.0,1101.0,,1007.0,2390.0
A,ND,2006,Total for All NAICS,4463.0,1113.0,,923.0,2509.0
A,ND,2007,Total for All NAICS,4425.0,1086.0,,862.0,2441.0
A,ND,2008,Total for All NAICS,4561.0,972.0,,848.0,2317.0
A,ND,2009,Total for All NAICS,4242.0,742.0,,708.0,2053.0
A,ND,2010,Total for All NAICS,4892.0,811.0,,848.0,2315.0
A,ND,2011,Total for All NAICS,6166.0,1023.0,,1208.0,2882.0
A,ND,2012,Total for All NAICS,6691.0,1040.0,,1141.0,3084.0
A,ND,2013,Total for All NAICS,6450.0,883.0,,971.0,2751.0
A,ND,2014,Total for All NAICS,6692.0,864.0,,1040.0,2853.0
A,ND,2015,Total for All NAICS,6122.0,808.0,,797.0,2562.0
A,ND,2016,Total for All NAICS,5763.0,632.0,,791.0,2297.0
A,ND,2017,Total for All NAICS,7447.0,594.0,,740.0,2204.0
A,ND,2018,Total for All NAICS,8614.0,646.0,,743.0,2317.0
A,ND,2019,Total for All NAICS,6832.0,536.0,,,2186.0
A,ND,2020,Total for All NAICS,6562.0,482.0,,,2179.0
A,ND,2021,Total for All NAICS,8000.0,511.0,,,2665.0
A,NE,2005,Total for All NAICS,10839.0,3208.0,2717.0,2461.0,6196.0
A,NE,2006,Total for All NAICS,11241.0,3147.0,,2244.0,6342.0
A,NE,2007,Total for All NAICS,11082.0,2993.0,2324.0,2102.0,6125.0
A,NE,2008,Total for All NAICS,10823.0,2474.0,,1812.0,5366.0
A,NE,2009,Total for All NAICS,10470.0,2282.0,,1692.0,5061.0
A,NE,2010,Total for All NAICS,10990.0,2155.0,,1685.0,5099.0
A,NE,2011,Total for All NAICS,11736.0,2019.0,1954.0,1711.0,5394.0
A,NE,2012,Total for All NAICS,12210.0,1905.0,,1780.0,5328.0
A,NE,2013,Total for All NAICS,12087.0,1720.0,1924.0,1703.0,5021.0
A,NE,2014,Total for All NAICS,12374.0,1563.0,1975.0,1715.0,4874.0
A,NE,2015,Total for All NAICS,12843.0,1697.0,2115.0,1828.0,5229.0
A,NE,2016,Total for All NAICS,12874.0,1510.0,2097.0,1816.0,5191.0
A,NE,2017,Total for All NAICS,14714.0,1471.0,2030.0,1763.0,5262.0
A,NE,2018,Total for All NAICS,16493.0,1431.0,,1747.0,5250.0
A,NE,2019,Total for All NAICS,14891.0,1265.0,,,5224.0
