state,year,households_occupied_ratio
DC,2015,0.9101764880683213
DC,2016,0.8965199567744012
DC,2017,0.8940170180057997
DC,2018,0.8995459651604142
DC,2019,0.9032136152707132
DE,2005,0.8473292217076762
DE,2006,0.8360888666008472
DE,2007,0.8452417406251367
DE,2008,0.8363399471202416
DE,2009,0.8258308728896964
DE,2010,0.808791873826844
DE,2011,0.81310169628019
DE,2012,0.8293964533959854
DE,2013,0.8229579020181305
DE,2014,0.8378823850718593
DE,2015,0.8360601706288798
DE,2016,0.8238453704529348
DE,2017,0.8269250761805971
DE,2018,0.8381704239511785
DE,2019,0.8478357865892682
FL,2005,0.8536914878040007
FL,2006,0.8328830993476217
FL,2007,0.8132711363064571
FL,2008,0.8021270910354182
FL,2009,0.7897277539360672
FL,2010,0.7821877719493832
FL,2011,0.7872016914081786
FL,2012,0.7969793600862756
FL,2013,0.7970386295361404
FL,2014,0.8013478919368155
FL,2015,0.8103096027300778
FL,2016,0.8141627625471128
FL,2017,0.8144780775685438
FL,2018,0.8179254991902815
FL,2019,0.8172202488450291
GA,2005,0.880368005438734
GA,2006,0.8717815462106338
GA,2007,0.8625499571768582
GA,2008,0.8618204198966714
GA,2009,0.8537578140649971
GA,2010,0.8511390249303309
GA,2011,0.8516796251046156
GA,2012,0.8601001958829999
GA,2013,0.8629745007617705
GA,2014,0.8641740700156357
GA,2015,0.8742725169455132
GA,2016,0.8736774143698317
GA,2017,0.8745567170933812
GA,2018,0.8790518197447869
GA,2019,0.8799465552091541
HI,2005,0.875651382386661
HI,2006,0.8652276604382616
HI,2007,0.8676549232265945
HI,2008,0.8523190378323148
HI,2009,0.8651696941607212
HI,2010,0.8573439591378329
HI,2011,0.8587994960885598
HI,2012,0.853850305213516
HI,2013,0.855245532533417
HI,2014,0.8503182310353544
HI,2015,0.8375753409477229
HI,2016,0.8486475417465607
HI,2017,0.8436758110708991
HI,2018,0.8335008356811121
HI,2019,0.8454939599656932
IA,2005,0.9188105372613802
IA,2006,0.9157449355293262
IA,2007,0.9134677009270431
IA,2008,0.914664268404654
IA,2009,0.9141255331388054
IA,2010,0.9146776637810705
IA,2011,0.9076353062984303
IA,2012,0.9118213345956152
IA,2013,0.9159770214588395
IA,2014,0.9114831200983236
IA,2015,0.910813587764965
IA,2016,0.9042415441925038
IA,2017,0.8996708255260818
IA,2018,0.8994762934459352
IA,2019,0.9073882701254758
ID,2005,0.8934855903232523
ID,2006,0.8909409244392182
ID,2007,0.8883477913606815
ID,2008,0.8822541902881023
ID,2009,0.8624464702403106
ID,2010,0.8625182087659318
