state,year,median_age
WV,2010,41.2
WV,2011,41.4
WV,2012,41.5
WV,2013,41.7
WV,2014,41.9
WV,2015,42.2
WV,2016,42.3
WV,2017,42.4
WV,2018,42.8
WV,2019,42.9
WI,2005,37.9
WI,2006,37.6
WI,2007,38.0
WI,2008,38.2
WI,2009,38.4
WI,2010,38.5
WI,2011,38.7
WI,2012,38.8
WI,2013,39.0
WI,2014,39.2
WI,2015,39.4
WI,2016,39.4
WI,2017,39.5
WI,2018,39.6
WI,2019,39.9
WY,2005,39.1
WY,2006,37.5
WY,2007,36.9
WY,2008,36.6
WY,2009,36.7
WY,2010,36.7
WY,2011,36.8
WY,2012,36.9
WY,2013,36.6
WY,2014,36.6
WY,2015,36.5
WY,2016,37.2
WY,2017,37.5
WY,2018,38.5
WY,2019,38.1
