state,poverty_rate,year
HI,0.09300000000000001,2016
ID,0.111,2016
IL,0.121,2016
IN,0.11800000000000001,2016
IA,0.098,2016
KS,0.11199999999999999,2016
KY,0.152,2016
LA,0.20199999999999999,2016
ME,0.127,2016
MD,0.071,2016
MA,0.096,2016
MI,0.111,2016
MN,0.087,2016
MS,0.21100000000000002,2016
MO,0.13,2016
MT,0.11699999999999999,2016
NE,0.096,2016
NV,0.10099999999999999,2016
NH,0.064,2016
NJ,0.094,2016
NM,0.17800000000000002,2016
NY,0.11900000000000001,2016
NC,0.136,2016
ND,0.111,2016
OH,0.13699999999999998,2016
OK,0.146,2016
OR,0.11800000000000001,2016
PA,0.111,2016
RI,0.114,2016
SC,0.141,2016
SD,0.145,2016
TN,0.149,2016
TX,0.138,2016
UT,0.086,2016
VT,0.096,2016
VA,0.114,2016
WA,0.11,2016
WV,0.18,2016
WI,0.107,2016
WY,0.109,2016
AL,0.163,2015
AK,0.092,2015
AZ,0.172,2015
AR,0.161,2015
CA,0.139,2015
CO,0.099,2015
CT,0.091,2015
DE,0.111,2015
DC,0.166,2015
FL,0.162,2015
GA,0.18100000000000002,2015
HI,0.109,2015
ID,0.12300000000000001,2015
IL,0.109,2015
IN,0.135,2015
IA,0.10400000000000001,2015
KS,0.142,2015
KY,0.195,2015
LA,0.18600000000000003,2015
ME,0.12300000000000001,2015
MD,0.096,2015
MA,0.115,2015
MI,0.128,2015
MN,0.078,2015
MS,0.191,2015
MO,0.098,2015
MT,0.11900000000000001,2015
NE,0.10300000000000001,2015
NV,0.13,2015
NH,0.073,2015
NJ,0.11199999999999999,2015
NM,0.19699999999999998,2015
NY,0.142,2015
NC,0.153,2015
ND,0.107,2015
OH,0.136,2015
OK,0.142,2015
OR,0.11900000000000001,2015
PA,0.12300000000000001,2015
RI,0.11800000000000001,2015
SC,0.14300000000000002,2015
SD,0.139,2015
TN,0.147,2015
TX,0.147,2015
UT,0.09300000000000001,2015
VT,0.107,2015
VA,0.109,2015
WA,0.114,2015
WV,0.145,2015
WI,0.114,2015
WY,0.098,2015
AL,0.17800000000000002,2014
AK,0.11900000000000001,2014
AZ,0.212,2014
AR,0.184,2014
CA,0.158,2014
CO,0.12300000000000001,2014
CT,0.086,2014
DE,0.11,2014
DC,0.19,2014
FL,0.16699999999999998,2014
GA,0.168,2014
HI,0.10800000000000001,2014
ID,0.124,2014
IL,0.13699999999999998,2014
IN,0.146,2014
IA,0.10300000000000001,2014
KS,0.121,2014
KY,0.2,2014
LA,0.231,2014
ME,0.146,2014
MD,0.098,2014
MA,0.136,2014
MI,0.14800000000000002,2014
MN,0.083,2014
MS,0.221,2014
MO,0.10400000000000001,2014
MT,0.12,2014
NE,0.11800000000000001,2014
NV,0.17,2014
NH,0.07200000000000001,2014
NJ,0.113,2014
NM,0.2,2014
NY,0.14,2014
NC,0.171,2014
ND,0.09699999999999999,2014
OH,0.156,2014
OK,0.17300000000000001,2014
OR,0.14400000000000002,2014
PA,0.125,2014
RI,0.113,2014
SC,0.165,2014
SD,0.128,2014
TN,0.17300000000000001,2014
TX,0.16399999999999998,2014
UT,0.102,2014
VT,0.09300000000000001,2014
VA,0.102,2014
WA,0.12,2014
WV,0.20600000000000002,2014
WI,0.109,2014
WY,0.09699999999999999,2014
AL,0.185,2013
AK,0.09699999999999999,2013
AZ,0.17800000000000002,2013
AR,0.139,2013
CA,0.151,2013
CO,0.107,2013
CT,0.109,2013
DE,0.11199999999999999,2013
DC,0.23199999999999998,2013
FL,0.14800000000000002,2013
GA,0.185,2013
HI,0.106,2013
ID,0.124,2013
IL,0.136,2013
IN,0.165,2013
IA,0.132,2013
KS,0.114,2013
KY,0.22,2013
LA,0.212,2013
ME,0.114,2013
MD,0.105,2013
MA,0.121,2013
MI,0.127,2013
MN,0.11,2013
MS,0.191,2013
MO,0.175,2013
MT,0.105,2013
NE,0.105,2013
NV,0.145,2013
NH,0.055,2013
NJ,0.099,2013
NM,0.258,2013
NY,0.17300000000000001,2013
NC,0.147,2013
ND,0.132,2013
OH,0.149,2013
OK,0.212,2013
OR,0.14,2013
PA,0.11199999999999999,2013
RI,0.09300000000000001,2013
SC,0.193,2013
SD,0.133,2013
TN,0.155,2013
TX,0.16899999999999998,2013
UT,0.122,2013
VT,0.068,2013
VA,0.098,2013
WA,0.122,2013
WV,0.198,2013
WI,0.135,2013
WY,0.114,2013
AL,0.162,2012
AK,0.1,2012
AZ,0.19,2012
AR,0.201,2012
CA,0.159,2012
CO,0.11900000000000001,2012
CT,0.10300000000000001,2012
DE,0.135,2012
DC,0.184,2012
FL,0.153,2012
GA,0.18100000000000002,2012
HI,0.138,2012
ID,0.14400000000000002,2012
IL,0.126,2012
IN,0.152,2012
IA,0.10300000000000001,2012
KS,0.14,2012
KY,0.179,2012
LA,0.21100000000000002,2012
ME,0.128,2012
MD,0.099,2012
MA,0.113,2012
MI,0.13699999999999998,2012
MN,0.1,2012
MS,0.22,2012
MO,0.152,2012
MT,0.134,2012
NE,0.122,2012
NV,0.158,2012
NH,0.081,2012
NJ,0.09300000000000001,2012
NM,0.204,2012
NY,0.172,2012
NC,0.172,2012
ND,0.114,2012
OH,0.154,2012
OK,0.18,2012
OR,0.135,2012
PA,0.139,2012
RI,0.136,2012
SC,0.16699999999999998,2012
SD,0.128,2012
TN,0.18600000000000003,2012
TX,0.17,2012
UT,0.11,2012
VT,0.11199999999999999,2012
VA,0.106,2012
WA,0.11599999999999999,2012
WV,0.16699999999999998,2012
WI,0.114,2012
WY,0.096,2012
AL,0.154,2011
AK,0.11699999999999999,2011
AZ,0.172,2011
AR,0.187,2011
CA,0.16899999999999998,2011
CO,0.132,2011
CT,0.10099999999999999,2011
DE,0.13699999999999998,2011
DC,0.19899999999999998,2011
FL,0.149,2011
GA,0.184,2011
HI,0.121,2011
ID,0.157,2011
IL,0.142,2011
IN,0.156,2011
IA,0.10400000000000001,2011
KS,0.14300000000000002,2011
KY,0.16,2011
LA,0.21100000000000002,2011
ME,0.134,2011
MD,0.09300000000000001,2011
MA,0.106,2011
MI,0.15,2011
MN,0.1,2011
MS,0.174,2011
MO,0.154,2011
MT,0.165,2011
NE,0.102,2011
NV,0.155,2011
NH,0.076,2011
NJ,0.114,2011
NM,0.222,2011
NY,0.16,2011
NC,0.154,2011
ND,0.099,2011
OH,0.151,2011
OK,0.139,2011
OR,0.14400000000000002,2011
PA,0.126,2011
RI,0.134,2011
SC,0.19,2011
SD,0.145,2011
TN,0.163,2011
TX,0.174,2011
UT,0.11,2011
VT,0.11599999999999999,2011
VA,0.114,2011
WA,0.125,2011
WV,0.175,2011
WI,0.131,2011
WY,0.107,2011
AL,0.172,2010
AK,0.125,2010
AZ,0.188,2010
AR,0.153,2010
CA,0.163,2010
CO,0.12300000000000001,2010
CT,0.086,2010
DE,0.122,2010
DC,0.195,2010
FL,0.16,2010
GA,0.188,2010
HI,0.124,2010
ID,0.138,2010
IL,0.141,2010
IN,0.163,2010
IA,0.10300000000000001,2010
KS,0.145,2010
KY,0.177,2010
LA,0.215,2010
ME,0.126,2010
MD,0.109,2010
MA,0.109,2010
MI,0.157,2010
MN,0.10800000000000001,2010
MS,0.225,2010
MO,0.15,2010
MT,0.145,2010
NE,0.102,2010
NV,0.166,2010
NH,0.065,2010
NJ,0.111,2010
NM,0.183,2010
NY,0.16,2010
NC,0.174,2010
ND,0.126,2010
OH,0.154,2010
OK,0.163,2010
OR,0.14300000000000002,2010
PA,0.122,2010
RI,0.14,2010
SC,0.16899999999999998,2010
SD,0.136,2010
TN,0.16699999999999998,2010
TX,0.184,2010
UT,0.1,2010
VT,0.10800000000000001,2010
VA,0.107,2010
WA,0.11599999999999999,2010
WV,0.168,2010
WI,0.10099999999999999,2010
WY,0.096,2010
AL,0.166,2009
AK,0.11699999999999999,2009
AZ,0.212,2009
AR,0.18899999999999997,2009
CA,0.153,2009
CO,0.12300000000000001,2009
CT,0.084,2009
DE,0.12300000000000001,2009
DC,0.179,2009
FL,0.146,2009
GA,0.184,2009
HI,0.125,2009
ID,0.13699999999999998,2009
IL,0.132,2009
IN,0.161,2009
IA,0.107,2009
KS,0.13699999999999998,2009
KY,0.17,2009
LA,0.14300000000000002,2009
ME,0.114,2009
MD,0.096,2009
MA,0.10800000000000001,2009
MI,0.14,2009
MN,0.111,2009
MS,0.231,2009
MO,0.155,2009
MT,0.135,2009
NE,0.099,2009
NV,0.13,2009
NH,0.078,2009
NJ,0.09300000000000001,2009
NM,0.193,2009
NY,0.158,2009
NC,0.16899999999999998,2009
ND,0.109,2009
OH,0.133,2009
OK,0.129,2009
OR,0.134,2009
PA,0.111,2009
RI,0.13,2009
SC,0.13699999999999998,2009
SD,0.141,2009
TN,0.165,2009
TX,0.17300000000000001,2009
UT,0.09699999999999999,2009
VT,0.094,2009
VA,0.107,2009
WA,0.11699999999999999,2009
WV,0.158,2009
WI,0.10800000000000001,2009
WY,0.092,2009
AL,0.14300000000000002,2008
AK,0.08199999999999999,2008
AZ,0.18,2008
AR,0.153,2008
CA,0.146,2008
CO,0.11,2008
CT,0.081,2008
DE,0.096,2008
DC,0.165,2008
FL,0.131,2008
GA,0.155,2008
HI,0.099,2008
ID,0.122,2008
IL,0.12300000000000001,2008
IN,0.14300000000000002,2008
IA,0.095,2008
KS,0.127,2008
KY,0.171,2008
LA,0.182,2008
ME,0.12,2008
MD,0.087,2008
MA,0.113,2008
MI,0.13,2008
MN,0.099,2008
MS,0.18100000000000002,2008
MO,0.133,2008
MT,0.129,2008
NE,0.106,2008
NV,0.10800000000000001,2008
NH,0.07,2008
NJ,0.092,2008
NM,0.193,2008
NY,0.142,2008
NC,0.139,2008
ND,0.11800000000000001,2008
OH,0.13699999999999998,2008
OK,0.136,2008
OR,0.106,2008
PA,0.11,2008
RI,0.127,2008
SC,0.14,2008
