sa,naics_sector,series,geo,year,annual_total
U,Total for All NAICS,Business Applications,DC,2021,16751.0
A,Total for All NAICS,Business Applications,DC,2021,16873.0
U,Total for All NAICS,Business Applications,FL,2021,632109.0
A,Total for All NAICS,Business Applications,FL,2021,636775.0
U,Total for All NAICS,Business Applications,GA,2021,326469.0
A,Total for All NAICS,Business Applications,GA,2021,326548.0
U,Total for All NAICS,Business Applications,HI,2021,19086.0
A,Total for All NAICS,Business Applications,HI,2021,19199.0
U,Total for All NAICS,Business Applications,ID,2021,28420.0
A,Total for All NAICS,Business Applications,ID,2021,28459.0
U,Total for All NAICS,Business Applications,IL,2021,198827.0
A,Total for All NAICS,Business Applications,IL,2021,197621.0
U,Total for All NAICS,Business Applications,IN,2021,86715.0
A,Total for All NAICS,Business Applications,IN,2021,87042.0
U,Total for All NAICS,Business Applications,IA,2021,29550.0
A,Total for All NAICS,Business Applications,IA,2021,29634.0
U,Total for All NAICS,Business Applications,KS,2021,30269.0
A,Total for All NAICS,Business Applications,KS,2021,30437.0
U,Total for All NAICS,Business Applications,KY,2021,47000.0
A,Total for All NAICS,Business Applications,KY,2021,47227.0
U,Total for All NAICS,Business Applications,LA,2021,100144.0
A,Total for All NAICS,Business Applications,LA,2021,100146.0
U,Total for All NAICS,Business Applications,ME,2021,13389.0
A,Total for All NAICS,Business Applications,ME,2021,13506.0
U,Total for All NAICS,Business Applications,MD,2021,114749.0
A,Total for All NAICS,Business Applications,MD,2021,115022.0
U,Total for All NAICS,Business Applications,MA,2021,75431.0
A,Total for All NAICS,Business Applications,MA,2021,75850.0
U,Total for All NAICS,Business Applications,MI,2021,150465.0
A,Total for All NAICS,Business Applications,MI,2021,150821.0
U,Total for All NAICS,Business Applications,MN,2021,64643.0
A,Total for All NAICS,Business Applications,MN,2021,64797.0
U,Total for All NAICS,Business Applications,MS,2021,66117.0
A,Total for All NAICS,Business Applications,MS,2021,65423.0
U,Total for All NAICS,Business Applications,MO,2021,84054.0
A,Total for All NAICS,Business Applications,MO,2021,84268.0
U,Total for All NAICS,Business Applications,MT,2021,18965.0
A,Total for All NAICS,Business Applications,MT,2021,19037.0
U,Total for All NAICS,Business Applications,NE,2021,19193.0
A,Total for All NAICS,Business Applications,NE,2021,19317.0
U,Total for All NAICS,Business Applications,NV,2021,67568.0
A,Total for All NAICS,Business Applications,NV,2021,68045.0
U,Total for All NAICS,Business Applications,NH,2021,13646.0
