state,start_year,per_pupil_revenue
TN,2008,8523
TX,2008,9882
UT,2008,8255
VT,2008,16780
VA,2008,12109
WA,2008,11479
WV,2008,11606
WI,2008,12493
WY,2008,19328
AL,2007,10356
AK,2007,17471
AZ,2007,9457
AR,2007,9758
CA,2007,11228
CO,2007,10118
CT,2007,16585
DE,2007,13792
DC,2007,17394
FL,2007,10995
GA,2007,11319
HI,2007,13886
ID,2007,7965
IL,2007,12035
IN,2007,11747
IA,2007,11209
KS,2007,11805
KY,2007,9848
LA,2007,11543
ME,2007,13257
MD,2007,15471
MA,2007,15165
MI,2007,11591
MN,2007,12290
MS,2007,8880
MO,2007,11042
MT,2007,10958
NE,2007,11691
NV,2007,10165
NH,2007,13019
NJ,2007,18007
NM,2007,11110
NY,2007,19081
NC,2007,8439
ND,2007,11117
OH,2007,12476
OK,2007,8539
OR,2007,10818
PA,2007,13859
RI,2007,15062
SC,2007,10913
SD,2007,9925
TN,2007,8535
TX,2007,9749
UT,2007,7629
VT,2007,16000
VA,2007,11803
WA,2007,10781
WV,2007,11207
WI,2007,12081
WY,2007,18622
AL,2006,9548
AK,2006,14304
AZ,2006,9023
AR,2006,9362
CA,2006,10857
CO,2006,9720
CT,2006,15737
DE,2006,13345
DC,2006,17602
FL,2006,10571
GA,2006,10874
HI,2006,13514
ID,2006,7627
IL,2006,11342
IN,2006,9621
IA,2006,10407
KS,2006,11202
KY,2006,8990
LA,2006,10568
ME,2006,13079
MD,2006,13650
MA,2006,14638
MI,2006,11369
MN,2006,11558
MS,2006,8399
MO,2006,10391
MT,2006,10265
NE,2006,11129
NV,2006,9436
NH,2006,12292
NJ,2006,17418
NM,2006,10213
NY,2006,17707
NC,2006,8398
ND,2006,10297
OH,2006,12110
OK,2006,8184
OR,2006,10064
PA,2006,12821
RI,2006,14153
SC,2006,10070
SD,2006,9398
TN,2006,7897
TX,2006,9410
UT,2006,7218
VT,2006,15107
VA,2006,11440
WA,2006,10178
WV,2006,10780
WI,2006,11566
WY,2006,17412
AL,2005,8555
AK,2005,12849
AZ,2005,8071
AR,2005,9031
CA,2005,9909
CO,2005,9322
CT,2005,15149
DE,2005,12679
DC,2005,15624
FL,2005,9277
GA,2005,10083
HI,2005,14789
ID,2005,7288
IL,2005,10581
IN,2005,10831
IA,2005,9793
KS,2005,10318
