year,per_capita_disposable_personal_income,state
2008,41200,NH
2008,44338,NJ
2008,30528,NM
2008,39951,NY
2008,33776,NC
2008,36953,ND
2008,32604,OH
2008,35341,OK
2008,32421,OR
2008,36771,PA
2008,36862,RI
2008,30002,SC
2008,37772,SD
2008,32127,TN
2008,35692,TX
2008,30297,UT
2008,36682,VT
2008,39698,VA
2008,39846,WA
2008,28418,WV
2008,34479,WI
2008,43947,WY
2009,30155,AL
2009,43732,AK
2009,30950,AZ
2009,28864,AR
2009,37319,CA
2009,36072,CO
2009,52436,CT
2009,36991,DE
2009,52440,DC
2009,33921,FL
2009,31221,GA
2009,37537,HI
2009,28794,ID
2009,37159,IL
2009,31309,IN
2009,34077,IA
2009,35925,KS
2009,29560,KY
2009,33994,LA
2009,33966,ME
2009,42895,MD
2009,44822,MA
2009,31448,MI
2009,36757,MN
2009,28090,MS
2009,33206,MO
2009,31685,MT
2009,36236,NE
2009,33198,NV
2009,41575,NH
2009,44237,NJ
2009,30306,NM
2009,40753,NY
2009,32800,NC
2009,36904,ND
2009,32444,OH
2009,33064,OK
2009,31811,OR
2009,36598,PA
2009,36879,RI
2009,29497,SC
2009,36968,SD
2009,32261,TN
2009,34445,TX
2009,29018,UT
2009,37161,VT
2009,39463,VA
2009,38370,WA
2009,29058,WV
2009,34530,WI
2009,40979,WY
2010,31203,AL
2010,45914,AK
2010,31131,AZ
2010,29718,AR
2010,38475,CA
2010,36480,CO
2010,53980,CT
2010,36991,DE
2010,55578,DC
2010,35760,FL
2010,31625,GA
2010,38109,HI
2010,29560,ID
2010,38002,IL
2010,32536,IN
2010,34940,IA
2010,36281,KS
2010,30434,KY
2010,35296,LA
2010,34831,ME
2010,44006,MD
2010,46421,MA
2010,32632,MI
2010,38080,MN
2010,28973,MS
2010,33854,MO
2010,33344,MT
2010,37694,NE
2010,34393,NV
2010,43263,NH
2010,45256,NJ
2010,31189,NM
2010,42096,NY
2010,32623,NC
2010,40461,ND
2010,33323,OH
2010,34325,OK
2010,32347,OR
2010,38083,PA
2010,38821,RI
2010,30222,SC
2010,38676,SD
2010,33503,TN
2010,35949,TX
2010,29407,UT
2010,38313,VT
2010,40636,VA
2010,38911,WA
2010,30013,WV
2010,35422,WI
2010,42498,WY
2011,31966,AL
2011,48315,AK
2011,31919,AZ
2011,31178,AR
2011,40026,CA
2011,38550,CO
2011,54336,CT
2011,39247,DE
2011,57738,DC
2011,36819,FL
2011,33180,GA
2011,39031,HI
2011,30679,ID
2011,39069,IL
2011,34133,IN
2011,37091,IA
2011,38769,KS
2011,31459,KY
2011,35902,LA
2011,35976,ME
2011,45486,MD
2011,47336,MA
2011,34097,MI
2011,39929,MN
2011,30147,MS
2011,34773,MO
2011,34984,MT
2011,41623,NE
2011,35332,NV
2011,44661,NH
2011,46453,NJ
2011,32174,NM
2011,43490,NY
2011,33102,NC
2011,44101,ND
2011,35158,OH
2011,36150,OK
2011,33311,OR
2011,39503,PA
2011,39699,RI
2011,31367,SC
2011,41383,SD
2011,34985,TN
2011,38215,TX
2011,30969,UT
2011,40009,VT
2011,42009,VA
2011,40106,WA
2011,31325,WV
2011,36903,WI
2011,46074,WY
2012,32914,AL
2012,49553,AK
2012,32982,AZ
2012,33333,AR
2012,42244,CA
2012,40347,CO
2012,55179,CT
2012,39448,DE
2012,58095,DC
2012,37660,FL
2012,33814,GA
2012,40054,HI
2012,32104,ID
2012,40697,IL
2012,35792,IN
2012,38708,IA
2012,40994,KS
2012,32546,KY
2012,37448,LA
2012,36709,ME
2012,46484,MD
2012,49289,MA
2012,35406,MI
2012,42122,MN
2012,31117,MS
2012,36440,MO
2012,36820,MT
2012,42355,NE
2012,36223,NV
2012,46745,NH
2012,48380,NJ
2012,32901,NM
2012,45840,NY
2012,35208,NC
2012,50716,ND
2012,36590,OH
2012,38400,OK
2012,34966,OR
2012,41163,PA
2012,41325,RI
2012,32729,SC
2012,41761,SD
2012,36559,TN
2012,40245,TX
2012,32537,UT
2012,41450,VT
2012,43767,VA
2012,43064,WA
2012,32345,WV
2012,38557,WI
2012,48271,WY
2013,32922,AL
2013,48265,AK
2013,33141,AZ
2013,33121,AR
2013,41919,CA
2013,41620,CO
2013,52706,CT
2013,39523,DE
2013,57052,DC
2013,36872,FL
2013,33739,GA
2013,39859,HI
2013,32827,ID
2013,41273,IL
2013,35853,IN
2013,39052,IA
2013,41567,KS
2013,32494,KY
2013,37538,LA
2013,36374,ME
2013,45585,MD
2013,48372,MA
2013,35364,MI
2013,41643,MN
2013,31489,MS
2013,36343,MO
2013,36548,MT
2013,42092,NE
2013,35468,NV
2013,46070,NH
2013,48024,NJ
2013,31984,NM
2013,45300,NY
2013,34127,NC
2013,48871,ND
2013,36850,OH
2013,39896,OK
2013,34830,OR
2013,41169,PA
2013,40822,RI
2013,32548,SC
2013,41660,SD
2013,36379,TN
2013,40386,TX
2013,32744,UT
2013,41632,VT
2013,42650,VA
2013,43104,WA
2013,32026,WV
2013,38303,WI
2013,47759,WY
2014,33974,AL
2014,51077,AK
2014,34485,AZ
2014,35012,AR
2014,44172,CA
2014,44500,CO
2014,55273,CT
2014,41042,DE
2014,59959,DC
2014,38823,FL
2014,35674,GA
2014,41878,HI
2014,34286,ID
2014,43299,IL
2014,37191,IN
2014,40242,IA
2014,42364,KS
2014,33915,KY
2014,39080,LA
2014,37797,ME
2014,46867,MD
2014,50203,MA
2014,36889,MI
2014,43530,MN
2014,32080,MS
2014,37541,MO
2014,38035,MT
2014,44145,NE
2014,37525,NV
2014,47539,NH
2014,50258,NJ
2014,33976,NM
2014,46905,NY
2014,35779,NC
2014,51357,ND
2014,38336,OH
2014,42262,OK
2014,36873,OR
2014,42830,PA
2014,42500,RI
2014,34316,SC
2014,43205,SD
2014,37502,TN
2014,42556,TX
2014,34215,UT
2014,43406,VT
2014,44180,VA
2014,45719,WA
2014,33123,WV
2014,39929,WI
2014,51378,WY
2015,35255,AL
2015,52429,AK
2015,35547,AZ
2015,36013,AR
2015,46659,CA
2015,45609,CO
2015,56752,CT
2015,42520,DE
2015,62796,DC
2015,40418,FL
2015,37282,GA
2015,43237,HI
2015,35694,ID
2015,45145,IL
2015,38343,IN
2015,41388,IA
2015,42629,KS
2015,35192,KY
2015,39215,LA
2015,39330,ME
2015,48675,MD
2015,53031,MA
2015,38729,MI
2015,45007,MN
2015,32543,MS
2015,38525,MO
2015,39290,MT
2015,45683,NE
2015,39774,NV
2015,49135,NH
2015,52028,NJ
2015,34755,NM
2015,48648,NY
2015,37015,NC
2015,48671,ND
2015,39709,OH
2015,40529,OK
2015,38815,OR
2015,44329,PA
2015,43887,RI
2015,35732,SC
2015,44651,SD
2015,38982,TN
2015,42577,TX
2015,36139,UT
2015,44529,VT
2015,45639,VA
2015,47366,WA
2015,33915,WV
2015,41356,WI
2015,51568,WY
2016,35681,AL
2016,51518,AK
2016,36433,AZ
2016,36751,AR
2016,48508,CA
2016,45478,CO
2016,58557,CT
2016,43382,DE
2016,65107,DC
2016,41553,FL
2016,38328,GA
2016,44540,HI
2016,36248,ID
2016,45977,IL
2016,39184,IN
2016,41558,IA
2016,42681,KS
2016,35629,KY
2016,38783,LA
2016,40181,ME
2016,50382,MD
2016,55023,MA
2016,39577,MI
2016,45551,MN
2016,32933,MS
2016,39507,MO
2016,39475,MT
2016,44551,NE
2016,40234,NV
2016,50483,NH
2016,53536,NJ
2016,35430,NM
2016,50969,NY
2016,37647,NC
2016,47390,ND
2016,40450,OH
2016,38415,OK
2016,39827,OR
2016,45619,PA
2016,44413,RI
2016,36555,SC
2016,44608,SD
2016,39762,TN
2016,42097,TX
2016,37194,UT
2016,45258,VT
2016,46566,VA
2016,48815,WA
2016,33955,WV
2016,41863,WI
2016,49224,WY
2017,37001,AL
2017,52770,AK
2017,37923,AZ
2017,37823,AR
2017,50460,CA
2017,48159,CO
2017,59787,CT
2017,44865,DE
2017,66370,DC
2017,43013,FL
2017,39980,GA
2017,46457,HI
2017,37663,ID
2017,47686,IL
2017,40757,IN
2017,42560,IA
2017,44044,KS
2017,36680,KY
2017,40217,LA
2017,41941,ME
2017,51968,MD
2017,57139,MA
2017,40777,MI
2017,47314,MN
