state,year,per_pupil_expenditure
NH, 2000,7286
NJ, 2000,11248
NM, 2000,6313
NY, 2000,10716
NC, 2000,6340
ND, 2000,6125
OH, 2000,7571
OK, 2000,6019
OR, 2000,7528
PA, 2000,8210
RI, 2000,9315
SC, 2000,6631
SD, 2000,6191
TN, 2000,5687
TX, 2000,6539
UT, 2000,4674
VT, 2000,9153
VA, 2000,7281
WA, 2000,6750
WV, 2000,7534
WI, 2000,8243
WY, 2000,7835
AL, 1999,5638
AK, 1999,8806
AZ, 1999,5030
AR, 1999,5277
CA, 1999,6314
CO, 1999,6215
CT, 1999,9753
DE, 1999,8310
DC, 1999,10107
FL, 1999,5831
GA, 1999,6437
HI, 1999,6530
ID, 1999,5315
IL, 1999,7133
IN, 1999,7192
IA, 1999,6564
KS, 1999,6294
KY, 1999,5921
LA, 1999,5804
ME, 1999,7667
MD, 1999,7731
MA, 1999,8816
MI, 1999,8110
MN, 1999,7190
MS, 1999,5014
MO, 1999,6187
MT, 1999,6314
NE, 1999,6683
NV, 1999,5760
NH, 1999,6860
NJ, 1999,10337
NM, 1999,5825
NY, 1999,9846
NC, 1999,6045
ND, 1999,5667
OH, 1999,7065
OK, 1999,5395
OR, 1999,7149
PA, 1999,7772
RI, 1999,8904
SC, 1999,6130
SD, 1999,5632
TN, 1999,5383
TX, 1999,6288
UT, 1999,4378
VT, 1999,8323
VA, 1999,6841
WA, 1999,6376
WV, 1999,7152
WI, 1999,7806
WY, 1999,7425
AL, 1998,5188
AK, 1998,8404
AZ, 1998,4672
AR, 1998,4956
CA, 1998,5801
CO, 1998,5923
CT, 1998,9318
DE, 1998,7706
DC, 1998,9650
FL, 1998,5790
GA, 1998,6092
HI, 1998,6081
ID, 1998,5066
IL, 1998,6762
IN, 1998,6772
IA, 1998,6243
KS, 1998,6015
KY, 1998,5637
LA, 1998,5548
ME, 1998,7155
MD, 1998,7326
MA, 1998,8260
MI, 1998,7432
MN, 1998,6814
MS, 1998,4565
MO, 1998,5855
MT, 1998,5974
NE, 1998,6256
NV, 1998,5587
NH, 1998,6433
NJ, 1998,10145
NM, 1998,5440
NY, 1998,9344
NC, 1998,5656
ND, 1998,5442
OH, 1998,6590
OK, 1998,5303
OR, 1998,6828
PA, 1998,7450
RI, 1998,8294
SC, 1998,5656
SD, 1998,5259
TN, 1998,5123
TX, 1998,5685
UT, 1998,4210
VT, 1998,7541
VA, 1998,6350
WA, 1998,6110
WV, 1998,6677
WI, 1998,7527
WY, 1998,6842
AL, 1997,4849
AK, 1997,8271
AZ, 1997,4595
AR, 1997,4708
CA, 1997,5644
CO, 1997,5656
CT, 1997,8901
DE, 1997,7420
DC, 1997,8393
FL, 1997,5552
GA, 1997,5647
HI, 1997,5858
ID, 1997,4721
IL, 1997,6242
IN, 1997,6318
IA, 1997,5998
KS, 1997,5727
KY, 1997,5213
LA, 1997,5187
ME, 1997,6742
MD, 1997,7034
MA, 1997,7778
MI, 1997,7050
MN, 1997,6388
MS, 1997,4288
MO, 1997,5565
MT, 1997,5724
NE, 1997,5958
NV, 1997,5295
NH, 1997,6156
NJ, 1997,9643
NM, 1997,5005
NY, 1997,8852
NC, 1997,5257
ND, 1997,5056
OH, 1997,6198
OK, 1997,5033
OR, 1997,6419
PA, 1997,7209
RI, 1997,7928
SC, 1997,5320
SD, 1997,4669
TN, 1997,4937
TX, 1997,5444
UT, 1997,3969
VT, 1997,7075
VA, 1997,6065
WA, 1997,6040
WV, 1997,6323
WI, 1997,7123
WY, 1997,6218
