year,state,pce_clothing_footwear_and_related_services,pce_communication,pce_education,pce_financial_services_and_insurance,pce_food_and_beverages_purchased_for_off-premises_consumption,pce_food_services_and_accommodations,pce_furnishings_household_equipment_and_routine_household_maintenance,pce_health,pce_housing_utilities_and_fuels,pce_other_goods_and_services,pce_total,pce_recreation,pce_transportation
1998,MD,5943100000.0,2571400000.0,2668400000.0,8902800000.0,9588700000.0,6881000000.0,5913500000.0,19885400000.0,23572300000.0,8633600000.0,120663000000.0,11835900000.0,12344600000.0
1998,ME,1179200000.0,368600000.0,633100000.0,1764000000.0,2489400000.0,1600100000.0,1186800000.0,4637800000.0,5020800000.0,1997900000.0,27079500000.0,2364800000.0,2880300000.0
1998,MI,9548600000.0,3544700000.0,4594800000.0,14670100000.0,18087800000.0,11470900000.0,10713200000.0,33761800000.000004,36164500000.0,14172300000.0,202963900000.0,17501700000.0,22501800000.0
1998,MN,4832600000.0,2258300000.0,2725900000.0,8486299999.999999,9030500000.0,6275600000.0,5218800000.0,20235600000.0,20043200000.0,7039500000.0,114003300000.0,10928400000.0,13416800000.0
1998,MO,4695600000.0,2692500000.0,2336800000.0,8546000000.0,9513700000.0,7090100000.0,5368600000.0,19645700000.0,18908700000.0,7274000000.0,116459100000.0,12799100000.0,14707400000.0
1998,MS,2106199999.9999998,753400000.0,753700000.0,2332600000.0,4539800000.0,2574900000.0,2295100000.0,8801000000.0,8163900000.0,2668700000.0,44360100000.0,3266100000.0,5495800000.0
1998,MT,600800000.0,332700000.0,330900000.0,1092500000.0,1715200000.0,1135900000.0,809900000.0,2809100000.0,2902000000.0,1176000000.0,17118300000.0,1589600000.0,2072500000.0
1998,NC,7536600000.0,3463000000.0,2387600000.0,12225200000.0,14109200000.0,9662600000.0,9543300000.0,25822000000.0,28471200000.0,10512600000.0,156200500000.0,13651000000.0,18701300000.0
1998,ND,594900000.0,221000000.0,266200000.0,980900000.0,1098900000.0,760100000.0,701100000.0,2430900000.0,2017300000.0,782100000.0,12587800000.0,1004300000.0,1277200000.0
1998,NE,1435800000.0,694300000.0,814000000.0,3068600000.0,2905200000.0,2043700000.0,1650300000.0,5591200000.0,5515500000.0,2030800000.0,34003800000.000004,2971600000.0,4249800000.0
1998,NH,1587300000.0,453000000.0,749200000.0,2913400000.0,2650400000.0,1718000000.0,1400500000.0,4529900000.0,5351900000.0,1702300000.0,29637200000.0,2482400000.0,3425100000.0
1998,NJ,11314600000.0,5505400000.0,5510700000.0,17858100000.0,16154300000.0,10478400000.0,10026300000.0,33069100000.0,39060900000.0,13483800000.0,205456000000.0,19162500000.0,20293400000.0
1998,NM,1277800000.0,685500000.0,632800000.0,2318400000.0,2967500000.0,2280600000.0,1690400000.0,5452100000.0,5987600000.0,2161600000.0,32468800000.0,2426400000.0,4083500000.0
1998,NV,1480300000.0,901300000.0,513100000.0,3757600000.0,3724700000.0,2761900000.0,2190800000.0,5319500000.0,8828700000.0,2724900000.0,41657400000.0,4052500000.0,4915000000.0
1998,NY,20703200000.0,10587600000.0,8144100000.0,33156300000.000004,28208700000.0,23579800000.0,16678400000.000002,79597200000.0,76578200000.0,30639200000.0,406004200000.0,33903000000.0,34224900000.0
1998,OH,10419400000.0,4355800000.0,4622900000.0,13879000000.0,19779700000.0,14329900000.0,12828200000.0,40419400000.0,38760500000.0,15523900000.0,231078700000.0,22644700000.0,26173000000.0
1998,OK,2739600000.0,1473500000.0,1175900000.0,3797200000.0,5033400000.0,3544800000.0,3093100000.0,10664600000.0,10687100000.0,3734700000.0,59763600000.0,5188000000.0,7806100000.0
1998,OR,3206400000.0,1295200000.0,1305800000.0,5845100000.0,6574000000.0,4689500000.0,3614900000.0,10095300000.0,13041000000.0,4552000000.0,70774400000.0,6530100000.0,8916600000.0
1998,PA,12098500000.0,5111600000.0,6916100000.0,20597200000.0,21281200000.0,14245200000.0,12343000000.0,48313200000.0,46031400000.0,19938100000.0,269304099999.99997,23463700000.0,27694200000.0
1998,RI,855800000.0,507300000.0,532900000.0,1781100000.0,1770900000.0,1403600000.0,831500000.0,4122899999.9999995,3911400000.0,1396100000.0,21955300000.0,1756300000.0,2315100000.0
1998,SC,3954300000.0,1442600000.0,1493900000.0,4304900000.0,7087600000.0,5258700000.0,4261200000.0,12418500000.0,13853600000.0,4775500000.0,74955500000.0,6339000000.0,8637200000.0
1998,SD,592600000.0,284300000.0,294200000.0,886800000.0,1220300000.0,915400000.0,711800000.0,2603800000.0,2239800000.0,909000000.0,13667100000.0,1193800000.0,1314300000.0
1998,TN,5730300000.0,1921400000.0,1523400000.0,6847100000.0,9536700000.0,7268900000.0,6521100000.0,20099200000.0,18975300000.0,7425600000.0,110964300000.0,9787300000.0,14338200000.0
1998,TX,20361800000.0,11802100000.0,7249000000.0,30284400000.0,33623600000.0,25778500000.0,21531300000.0,63976200000.0,72972000000.0,26088100000.0,404150000000.0,36875800000.0,50689800000.0
1998,UT,1807200000.0,796600000.0,626200000.0,2923900000.0,3609600000.0,2537400000.0,2276800000.0,5583400000.0,7447800000.0,2226700000.0,39429700000.0,3952500000.0,5251900000.0
