state,year,mean_usual_hours
DC,2012,39.8
DC,2013,39.9
DC,2014,40.0
DC,2015,40.2
DC,2016,40.1
DC,2017,40.5
DC,2018,40.3
DC,2019,40.1
FL,2005,40.2
FL,2006,40.1
FL,2007,39.9
FL,2008,39.4
FL,2009,38.7
FL,2010,38.3
FL,2011,38.3
FL,2012,38.2
FL,2013,38.4
FL,2014,38.4
FL,2015,38.7
FL,2016,38.7
FL,2017,38.7
FL,2018,38.9
FL,2019,38.9
GA,2005,40.1
GA,2006,40.3
GA,2007,40.1
GA,2008,39.9
GA,2009,39.0
GA,2010,38.9
GA,2011,38.8
GA,2012,38.9
GA,2013,39.0
GA,2014,38.9
GA,2015,39.1
GA,2016,39.3
GA,2017,39.4
GA,2018,39.4
GA,2019,39.4
HI,2005,39.0
HI,2006,39.6
HI,2007,39.8
HI,2008,39.3
HI,2009,38.8
HI,2010,38.2
HI,2011,38.4
HI,2012,38.7
HI,2013,38.8
HI,2014,38.8
HI,2015,38.9
HI,2016,38.9
HI,2017,38.8
HI,2018,38.6
HI,2019,39.0
ID,2005,39.1
ID,2006,39.2
ID,2007,39.2
ID,2008,38.6
ID,2009,37.4
ID,2010,37.7
ID,2011,37.7
ID,2012,37.8
ID,2013,38.3
ID,2014,38.2
ID,2015,38.0
ID,2016,38.4
ID,2017,38.1
ID,2018,38.5
ID,2019,38.5
IL,2005,39.2
IL,2006,39.0
IL,2007,39.0
IL,2008,38.7
IL,2009,38.1
IL,2010,37.9
IL,2011,38.2
IL,2012,38.2
IL,2013,38.2
IL,2014,38.3
IL,2015,38.4
IL,2016,38.5
IL,2017,38.6
IL,2018,38.6
IL,2019,38.7
IN,2005,39.3
IN,2006,39.1
IN,2007,39.1
IN,2008,38.7
IN,2009,38.1
IN,2010,38.1
IN,2011,38.2
IN,2012,38.2
IN,2013,38.4
IN,2014,38.3
IN,2015,38.7
IN,2016,38.7
IN,2017,38.8
IN,2018,39.0
IN,2019,38.7
IA,2005,39.4
IA,2006,39.0
IA,2007,39.2
IA,2008,39.0
IA,2009,38.4
IA,2010,38.1
IA,2011,38.4
IA,2012,38.6
IA,2013,38.6
IA,2014,38.6
IA,2015,38.8
IA,2016,38.7
IA,2017,39.0
IA,2018,38.9
IA,2019,39.0
KS,2005,39.7
KS,2006,39.6
KS,2007,39.5
KS,2008,39.6
KS,2009,38.9
KS,2010,38.5
KS,2011,38.8
KS,2012,39.0
KS,2013,39.0
KS,2014,39.2
KS,2015,39.1
KS,2016,39.1
KS,2017,39.2
KS,2018,39.2
KS,2019,39.2
KY,2005,39.4
KY,2006,39.4
KY,2007,39.2
KY,2008,39.0
KY,2009,38.5
KY,2010,38.6
KY,2011,38.3
KY,2012,38.6
KY,2013,38.6
KY,2014,38.6
KY,2015,38.8
KY,2016,38.9
KY,2017,39.0
KY,2018,38.9
KY,2019,39.0
LA,2005,40.5
LA,2006,40.7
LA,2007,40.7
LA,2008,40.7
LA,2009,40.0
LA,2010,39.9
LA,2011,39.8
LA,2012,39.8
LA,2013,40.0
LA,2014,40.2
LA,2015,39.8
LA,2016,39.6
LA,2017,39.6
LA,2018,39.7
LA,2019,39.5
ME,2005,39.0
ME,2006,39.0
ME,2007,38.6
ME,2008,38.2
ME,2009,37.8
ME,2010,37.9
ME,2011,37.7
ME,2012,37.8
ME,2013,38.0
ME,2014,38.2
ME,2015,38.1
ME,2016,38.1
ME,2017,38.4
ME,2018,38.3
ME,2019,38.4
MD,2005,39.8
MD,2006,39.7
MD,2007,39.7
MD,2008,39.3
MD,2009,38.8
MD,2010,38.8
MD,2011,38.8
MD,2012,38.9
MD,2013,38.7
MD,2014,38.8
MD,2015,39.0
MD,2016,38.9
MD,2017,38.9
MD,2018,38.9
MD,2019,38.8
MA,2005,38.8
MA,2006,38.3
MA,2007,38.4
MA,2008,38.2
MA,2009,37.7
MA,2010,37.5
MA,2011,37.5
MA,2012,37.6
MA,2013,37.6
MA,2014,37.8
MA,2015,37.8
MA,2016,37.9
MA,2017,38.1
MA,2018,38.1
MA,2019,38.0
MI,2005,38.5
MI,2006,38.2
MI,2007,38.2
MI,2008,37.9
MI,2009,37.1
MI,2010,37.2
MI,2011,37.4
MI,2012,37.5
MI,2013,37.7
MI,2014,37.8
MI,2015,38.1
MI,2016,38.2
MI,2017,38.4
MI,2018,38.3
MI,2019,38.2
MN,2005,38.6
MN,2006,38.4
MN,2007,38.6
MN,2008,38.2
MN,2009,37.7
MN,2010,37.6
MN,2011,37.7
MN,2012,37.9
MN,2013,38.1
MN,2014,38.2
MN,2015,38.3
MN,2016,38.3
MN,2017,38.2
MN,2018,38.3
MN,2019,38.2
MS,2005,40.1
MS,2006,39.7
MS,2007,39.6
MS,2008,39.8
MS,2009,39.0
MS,2010,39.3
MS,2011,39.4
MS,2012,39.0
MS,2013,39.0
MS,2014,39.2
MS,2015,39.6
MS,2016,39.2
MS,2017,39.4
MS,2018,39.4
MS,2019,39.3
MO,2005,39.3
MO,2006,39.1
MO,2007,39.0
MO,2008,38.9
MO,2009,38.4
MO,2010,38.4
MO,2011,38.3
MO,2012,38.3
MO,2013,38.5
MO,2014,38.6
MO,2015,38.7
MO,2016,38.9
MO,2017,38.8
MO,2018,38.9
MO,2019,38.9
MT,2005,39.1
MT,2006,39.1
MT,2007,39.4
MT,2008,38.8
MT,2009,37.9
MT,2010,38.1
MT,2011,37.7
MT,2012,38.3
MT,2013,38.4
MT,2014,38.3
MT,2015,38.4
MT,2016,38.3
MT,2017,37.9
MT,2018,38.1
MT,2019,38.4
NE,2005,40.3
NE,2006,39.9
NE,2007,40.0
NE,2008,39.8
NE,2009,39.2
NE,2010,38.7
NE,2011,39.1
NE,2012,39.3
NE,2013,39.2
NE,2014,39.3
NE,2015,39.3
NE,2016,39.3
NE,2017,39.1
NE,2018,39.5
NE,2019,39.4
NV,2005,40.4
NV,2006,40.2
NV,2007,40.2
NV,2008,39.5
NV,2009,38.7
NV,2010,38.5
NV,2011,38.4
NV,2012,38.4
NV,2013,38.2
NV,2014,38.1
NV,2015,38.4
NV,2016,38.5
NV,2017,38.9
NV,2018,38.8
NV,2019,38.9
NH,2005,39.1
NH,2006,38.9
NH,2007,38.6
NH,2008,38.6
NH,2009,37.9
NH,2010,38.3
NH,2011,38.3
NH,2012,38.4
NH,2013,38.1
NH,2014,38.3
NH,2015,38.2
NH,2016,38.5
NH,2017,38.4
NH,2018,38.6
NH,2019,38.6
NJ,2005,39.2
NJ,2006,39.2
NJ,2007,39.2
NJ,2008,38.9
NJ,2009,38.7
NJ,2010,38.5
NJ,2011,38.4
NJ,2012,38.5
NJ,2013,38.5
NJ,2014,38.5
NJ,2015,38.4
NJ,2016,38.6
NJ,2017,38.5
NJ,2018,38.7
NJ,2019,38.6
NM,2005,39.0
NM,2006,39.1
NM,2007,39.1
NM,2008,38.8
NM,2009,38.3
NM,2010,38.1
NM,2011,38.0
NM,2012,38.4
NM,2013,38.1
NM,2014,38.2
NM,2015,38.1
NM,2016,38.0
NM,2017,38.3
NM,2018,38.3
NM,2019,38.3
NY,2005,39.2
NY,2006,39.0
NY,2007,39.2
NY,2008,38.8
NY,2009,38.6
NY,2010,38.4
NY,2011,38.4
NY,2012,38.3
NY,2013,38.4
NY,2014,38.3
NY,2015,38.5
NY,2016,38.4
NY,2017,38.5
NY,2018,38.4
NY,2019,38.2
NC,2005,39.7
NC,2006,39.6
NC,2007,39.8
NC,2008,39.5
NC,2009,38.8
NC,2010,38.6
NC,2011,38.7
NC,2012,38.8
NC,2013,38.9
NC,2014,38.8
NC,2015,39.0
NC,2016,39.1
NC,2017,39.3
NC,2018,39.3
NC,2019,39.0
ND,2005,40.7
ND,2006,40.0
ND,2007,39.9
ND,2008,40.3
ND,2009,39.6
ND,2010,39.3
ND,2011,40.0
ND,2012,40.5
ND,2013,40.4
ND,2014,40.9
ND,2015,40.7
ND,2016,40.2
ND,2017,40.1
ND,2018,40.4
ND,2019,40.1
OH,2005,38.8
OH,2006,38.5
OH,2007,38.7
OH,2008,38.4
OH,2009,37.7
OH,2010,37.6
OH,2011,37.9
OH,2012,37.9
OH,2013,38.2
OH,2014,38.1
OH,2015,38.3
OH,2016,38.3
OH,2017,38.3
OH,2018,38.6
OH,2019,38.3
OK,2005,40.0
OK,2006,40.0
OK,2007,40.2
OK,2008,40.0
OK,2009,39.5
OK,2010,39.1
OK,2011,39.5
OK,2012,39.8
OK,2013,39.8
OK,2014,39.7
OK,2015,39.7
OK,2016,39.5
OK,2017,39.4
OK,2018,39.8
OK,2019,39.9
OR,2005,38.4
OR,2006,38.4
OR,2007,38.5
OR,2008,37.9
OR,2009,37.2
OR,2010,36.8
OR,2011,37.0
OR,2012,36.9
OR,2013,37.0
OR,2014,37.3
OR,2015,37.4
OR,2016,37.8
OR,2017,37.7
OR,2018,37.9
OR,2019,37.8
PA,2005,39.0
PA,2006,38.7
PA,2007,38.7
PA,2008,38.6
PA,2009,38.1
PA,2010,38.0
PA,2011,38.0
PA,2012,38.1
PA,2013,38.2
PA,2014,38.3
PA,2015,38.5
PA,2016,38.5
PA,2017,38.6
PA,2018,38.7
PA,2019,38.7
,2005,37.0
,2006,36.7
,2007,36.5
,2008,36.2
,2009,35.6
,2010,35.9
,2011,35.6
,2012,35.5
,2013,35.8
,2014,35.6
,2015,35.0
,2016,35.1
,2017,35.1
,2018,35.7
,2019,35.7
RI,2005,38.7
RI,2006,37.5
RI,2007,38.0
RI,2008,37.7
RI,2009,37.7
RI,2010,36.9
RI,2011,37.3
RI,2012,37.3
RI,2013,37.0
RI,2014,37.0
RI,2015,37.5
RI,2016,37.7
RI,2017,37.8
RI,2018,38.0
RI,2019,37.4
SC,2005,39.7
SC,2006,39.5
SC,2007,39.6
SC,2008,39.1
SC,2009,38.4
SC,2010,38.3
SC,2011,38.5
SC,2012,38.5
SC,2013,38.4
SC,2014,38.7
SC,2015,38.9
SC,2016,39.2
SC,2017,38.8
SC,2018,39.0
SC,2019,39.2
SD,2005,40.1
SD,2006,40.1
SD,2007,40.1
SD,2008,40.0
SD,2009,39.3
SD,2010,39.1
SD,2011,39.6
SD,2012,39.6
SD,2013,39.4
SD,2014,39.8
SD,2015,39.8
SD,2016,39.7
SD,2017,39.4
SD,2018,39.6
SD,2019,39.9
TN,2005,39.7
TN,2006,39.3
TN,2007,39.6
TN,2008,39.1
TN,2009,38.5
TN,2010,38.3
TN,2011,38.7
TN,2012,38.7
TN,2013,38.7
TN,2014,38.8
TN,2015,38.9
TN,2016,39.1
TN,2017,39.2
TN,2018,39.3
TN,2019,39.3
TX,2005,40.4
TX,2006,40.5
TX,2007,40.7
TX,2008,40.5
TX,2009,39.7
TX,2010,39.6
TX,2011,39.7
TX,2012,39.9
TX,2013,40.0
TX,2014,40.1
TX,2015,40.2
TX,2016,39.9
TX,2017,39.9
TX,2018,40.0
TX,2019,40.0
UT,2005,37.6
UT,2006,37.6
UT,2007,37.9
UT,2008,37.6
UT,2009,36.6
UT,2010,36.6
UT,2011,36.6
UT,2012,36.9
UT,2013,36.8
UT,2014,37.0
UT,2015,37.1
UT,2016,37.3
UT,2017,37.0
UT,2018,37.1
UT,2019,37.3
VT,2005,38.6
VT,2006,38.6
VT,2007,38.3
VT,2008,37.9
VT,2009,37.4
VT,2010,37.2
VT,2011,37.6
VT,2012,37.7
VT,2013,37.5
VT,2014,37.9
VT,2015,37.8
VT,2016,38.2
VT,2017,38.0
VT,2018,37.9
VT,2019,37.4
VA,2005,40.1
VA,2006,40.0
VA,2007,39.9
VA,2008,39.6
VA,2009,39.0
VA,2010,39.1
VA,2011,39.0
VA,2012,38.9
VA,2013,39.0
VA,2014,38.9
VA,2015,39.1
VA,2016,39.1
VA,2017,39.2
VA,2018,39.2
VA,2019,39.0
WA,2005,38.8
WA,2006,38.7
WA,2007,38.9
WA,2008,38.5
WA,2009,38.1
WA,2010,37.8
WA,2011,37.8
WA,2012,37.9
WA,2013,38.1
WA,2014,38.3
WA,2015,38.4
WA,2016,38.5
WA,2017,38.6
WA,2018,38.7
WA,2019,38.7
WV,2005,39.4
WV,2006,39.6
WV,2007,39.7
WV,2008,39.3
WV,2009,38.9
WV,2010,38.9
WV,2011,38.8
WV,2012,38.9
WV,2013,38.8
WV,2014,38.8
WV,2015,39.0
WV,2016,38.5
WV,2017,38.7
WV,2018,39.2
WV,2019,39.3
WI,2005,38.8
WI,2006,38.7
WI,2007,38.8
WI,2008,38.6
WI,2009,37.9
WI,2010,37.8
WI,2011,37.9
WI,2012,38.1
WI,2013,38.0
WI,2014,38.3
WI,2015,38.5
WI,2016,38.5
WI,2017,38.7
WI,2018,38.8
WI,2019,38.6
WY,2005,41.5
WY,2006,41.0
WY,2007,41.7
WY,2008,41.2
WY,2009,39.8
WY,2010,40.0
WY,2011,40.8
WY,2012,40.6
WY,2013,40.3
WY,2014,40.6
WY,2015,40.7
WY,2016,39.5
WY,2017,40.0
WY,2018,40.3
WY,2019,40.3
