state,year,median_monthly_house_cost
KS,2009,883.0
KS,2010,882.0
KS,2011,894.0
KS,2012,892.0
KS,2013,856.0
KS,2014,894.0
KS,2015,893.0
KS,2016,885.0
KS,2017,905.0
KS,2018,951.0
KS,2019,945.0
KY,2005,655.0
KY,2006,692.0
KY,2007,697.0
KY,2008,728.0
KY,2009,737.0
KY,2010,741.0
KY,2011,745.0
KY,2012,732.0
KY,2013,717.0
KY,2014,754.0
KY,2015,737.0
KY,2016,756.0
KY,2017,765.0
KY,2018,773.0
KY,2019,786.0
LA,2005,629.0
LA,2006,648.0
LA,2007,680.0
LA,2008,709.0
LA,2009,694.0
LA,2010,705.0
LA,2011,694.0
LA,2012,689.0
LA,2013,680.0
LA,2014,686.0
LA,2015,698.0
LA,2016,692.0
LA,2017,708.0
LA,2018,740.0
LA,2019,727.0
ME,2005,781.0
ME,2006,852.0
ME,2007,918.0
ME,2008,973.0
ME,2009,952.0
ME,2010,949.0
ME,2011,950.0
ME,2012,933.0
ME,2013,904.0
ME,2014,944.0
ME,2015,962.0
ME,2016,945.0
ME,2017,939.0
ME,2018,962.0
ME,2019,999.0
MD,2005,1307.0
MD,2006,1446.0
MD,2007,1565.0
MD,2008,1658.0
MD,2009,1689.0
MD,2010,1672.0
MD,2011,1647.0
MD,2012,1589.0
MD,2013,1540.0
MD,2014,1560.0
MD,2015,1580.0
MD,2016,1572.0
MD,2017,1566.0
MD,2018,1595.0
MD,2019,1634.0
MA,2005,1426.0
MA,2006,1546.0
MA,2007,1615.0
MA,2008,1697.0
MA,2009,1694.0
MA,2010,1650.0
MA,2011,1655.0
MA,2012,1621.0
MA,2013,1581.0
MA,2014,1599.0
MA,2015,1650.0
MA,2016,1647.0
MA,2017,1694.0
MA,2018,1726.0
MA,2019,1776.0
MI,2005,941.0
MI,2006,1010.0
MI,2007,1033.0
MI,2008,1045.0
MI,2009,1002.0
MI,2010,969.0
MI,2011,947.0
MI,2012,902.0
MI,2013,869.0
MI,2014,887.0
MI,2015,880.0
MI,2016,876.0
MI,2017,885.0
MI,2018,898.0
MI,2019,914.0
MN,2005,1066.0
MN,2006,1139.0
MN,2007,1184.0
MN,2008,1225.0
MN,2009,1204.0
MN,2010,1180.0
MN,2011,1176.0
MN,2012,1130.0
MN,2013,1095.0
MN,2014,1105.0
MN,2015,1114.0
MN,2016,1128.0
MN,2017,1157.0
MN,2018,1174.0
MN,2019,1200.0
MS,2005,580.0
MS,2006,615.0
MS,2007,638.0
MS,2008,653.0
MS,2009,654.0
MS,2010,650.0
MS,2011,643.0
MS,2012,625.0
MS,2013,604.0
MS,2014,644.0
MS,2015,636.0
MS,2016,625.0
MS,2017,595.0
MS,2018,623.0
MS,2019,648.0
MO,2005,765.0
MO,2006,816.0
MO,2007,856.0
MO,2008,886.0
MO,2009,884.0
MO,2010,876.0
MO,2011,898.0
MO,2012,861.0
MO,2013,837.0
MO,2014,861.0
MO,2015,869.0
MO,2016,866.0
MO,2017,872.0
MO,2018,891.0
MO,2019,895.0
MT,2005,700.0
MT,2006,746.0
MT,2007,741.0
MT,2008,758.0
MT,2009,783.0
MT,2010,794.0
MT,2011,809.0
MT,2012,804.0
MT,2013,779.0
MT,2014,785.0
MT,2015,840.0
MT,2016,827.0
MT,2017,879.0
MT,2018,894.0
MT,2019,896.0
NE,2005,804.0
NE,2006,862.0
NE,2007,884.0
NE,2008,917.0
NE,2009,904.0
NE,2010,893.0
NE,2011,909.0
NE,2012,918.0
NE,2013,905.0
NE,2014,920.0
NE,2015,941.0
NE,2016,930.0
NE,2017,975.0
NE,2018,979.0
NE,2019,1020.0
NV,2005,1247.0
NV,2006,1377.0
NV,2007,1514.0
NV,2008,1543.0
NV,2009,1471.0
NV,2010,1366.0
NV,2011,1260.0
NV,2012,1159.0
NV,2013,1083.0
NV,2014,1054.0
NV,2015,1098.0
NV,2016,1103.0
NV,2017,1139.0
NV,2018,1195.0
NV,2019,1230.0
NH,2005,1253.0
NH,2006,1369.0
NH,2007,1444.0
NH,2008,1534.0
NH,2009,1495.0
NH,2010,1492.0
NH,2011,1513.0
NH,2012,1466.0
NH,2013,1403.0
NH,2014,1434.0
NH,2015,1458.0
NH,2016,1440.0
NH,2017,1477.0
NH,2018,1481.0
NH,2019,1534.0
NJ,2005,1545.0
NJ,2006,1695.0
NJ,2007,1814.0
NJ,2008,1905.0
NJ,2009,1922.0
NJ,2010,1907.0
NJ,2011,1918.0
NJ,2012,1884.0
NJ,2013,1820.0
NJ,2014,1831.0
NJ,2015,1854.0
NJ,2016,1848.0
NJ,2017,1848.0
NJ,2018,1868.0
NJ,2019,1890.0
NM,2005,669.0
NM,2006,736.0
NM,2007,750.0
NM,2008,794.0
NM,2009,763.0
NM,2010,794.0
NM,2011,785.0
NM,2012,760.0
NM,2013,745.0
NM,2014,767.0
NM,2015,771.0
NM,2016,752.0
NM,2017,743.0
NM,2018,751.0
NM,2019,759.0
NY,2005,1163.0
NY,2006,1257.0
NY,2007,1284.0
NY,2008,1345.0
NY,2009,1352.0
NY,2010,1362.0
NY,2011,1368.0
NY,2012,1371.0
NY,2013,1339.0
NY,2014,1362.0
NY,2015,1381.0
