year,state,Per capita personal income,Population
1936,NM,343,489000
1936,NV,845,101000
1936,NY,819,13481000
1936,OH,597,6801000
1936,OK,322,2365000
1936,OR,547,1025000
1936,PA,608,9767000
1936,RI,721,686000
1936,SC,256,1781000
1936,SD,248,666000
1936,TN,303,2791000
1936,TX,372,6192000
1936,UT,463,527000
1936,VA,394,2552000
1936,VT,470,357000
1936,WA,570,1653000
1936,WI,518,3082000
1936,WV,391,1808000
1936,WY,552,240000
1937,AL,266,2762000
1937,AR,253,1903000
1937,AZ,506,453000
1937,CA,801,6528000
1937,CO,534,1104000
1937,CT,870,1678000
1937,DC,1211,616000
1937,DE,955,254000
1937,FL,491,1709000
1937,GA,312,3037000
1937,IA,513,2498000
1937,ID,421,507000
1937,IL,734,7857000
1937,IN,546,3374000
1937,KS,427,1856000
1937,KY,339,2784000
1937,LA,352,2257000
1937,MA,742,4358000
1937,MD,674,1754000
1937,ME,514,842000
1937,MI,687,4968000
1937,MN,538,2746000
1937,MO,508,3794000
1937,MS,220,2086000
1937,MT,514,554000
1937,NC,321,3385000
1937,ND,324,655000
1937,NE,414,1339000
1937,NH,570,481000
1937,NJ,753,4088000
1937,NM,362,503000
1937,NV,775,103000
1937,NY,848,13511000
1937,OH,651,6809000
1937,OK,375,2334000
1937,OR,556,1048000
1937,PA,643,9790000
1937,RI,742,694000
1937,SC,271,1802000
1937,SD,321,656000
1937,TN,332,2795000
1937,TX,418,6250000
1937,UT,447,529000
1937,VA,426,2590000
1937,VT,485,356000
1937,WA,601,1681000
1937,WI,551,3088000
1937,WV,419,1813000
1937,WY,606,243000
1938,AL,242,2787000
1938,AR,228,1928000
1938,AZ,479,466000
1938,CA,779,6656000
1938,CO,508,1112000
1938,CT,779,1684000
1938,DC,1142,638000
1938,DE,801,257000
1938,FL,466,1771000
1938,GA,288,3091000
1938,IA,451,2494000
1938,ID,421,513000
1938,IL,652,7866000
1938,IN,472,3386000
1938,KS,383,1842000
1938,KY,296,2800000
1938,LA,347,2285000
1938,MA,683,4365000
1938,MD,644,1766000
1938,ME,476,843000
1938,MI,574,5056000
1938,MN,493,2753000
1938,MO,476,3781000
1938,MS,196,2127000
1938,MT,515,552000
1938,NC,291,3440000
1938,ND,282,647000
1938,NE,402,1326000
1938,NH,537,485000
1938,NJ,704,4100000
1938,NM,338,513000
1938,NV,785,105000
1938,NY,801,13512000
1938,OH,565,6837000
1938,OK,345,2324000
1938,OR,531,1067000
1938,PA,570,9952000
1938,RI,683,694000
1938,SC,248,1834000
1938,SD,317,649000
1938,TN,298,2821000
1938,TX,404,6301000
1938,UT,446,535000
1938,VA,394,2638000
1938,VT,458,356000
1938,WA,583,1698000
1938,WI,508,3098000
1938,WV,371,1828000
1938,WY,560,246000
1939,AL,251,2814000
1939,AR,246,1948000
1939,AZ,491,484000
1939,CA,790,6785000
1939,CO,519,1120000
1939,CT,847,1696000
1939,DC,1164,658000
1939,DE,907,263000
1939,FL,502,1836000
1939,GA,308,3120000
1939,IA,468,2520000
1939,ID,431,521000
1939,IL,710,7890000
1939,IN,518,3403000
1939,KS,382,1824000
1939,KY,305,2825000
1939,LA,359,2334000
1939,MA,736,4347000
1939,MD,673,1793000
1939,ME,500,846000
1939,MI,628,5156000
1939,MN,517,2771000
1939,MO,504,3783000
1939,MS,201,2168000
1939,MT,530,555000
1939,NC,312,3514000
1939,ND,316,644000
