state,year,median_income
ND,2012,53585.0
ND,2013,55759.0
ND,2014,59029.0
ND,2015,60557.0
ND,2016,60656.0
ND,2017,61843.0
ND,2018,63837.0
ND,2019,64577.0
OH,2005,43493.0
OH,2006,44532.0
OH,2007,46597.0
OH,2008,47988.0
OH,2009,45395.0
OH,2010,45090.0
OH,2011,45749.0
OH,2012,46829.0
OH,2013,48081.0
OH,2014,49308.0
OH,2015,51075.0
OH,2016,52334.0
OH,2017,54021.0
OH,2018,56111.0
OH,2019,58642.0
OK,2005,37063.0
OK,2006,38770.0
OK,2007,41567.0
OK,2008,42822.0
OK,2009,41664.0
OK,2010,42072.0
OK,2011,43225.0
OK,2012,44312.0
OK,2013,45690.0
OK,2014,47529.0
OK,2015,48568.0
OK,2016,49176.0
OK,2017,50051.0
OK,2018,51924.0
OK,2019,54449.0
OR,2005,42944.0
OR,2006,46230.0
OR,2007,48730.0
OR,2008,50169.0
OR,2009,48457.0
OR,2010,46560.0
OR,2011,46816.0
OR,2012,49161.0
OR,2013,50251.0
OR,2014,51075.0
OR,2015,54148.0
OR,2016,57532.0
OR,2017,60212.0
OR,2018,63426.0
OR,2019,67058.0
PA,2005,44537.0
PA,2006,46259.0
PA,2007,48576.0
PA,2008,50713.0
PA,2009,49520.0
PA,2010,49288.0
PA,2011,50228.0
PA,2012,51230.0
PA,2013,52007.0
PA,2014,53234.0
PA,2015,55702.0
PA,2016,56907.0
PA,2017,59195.0
PA,2018,60905.0
PA,2019,63463.0
,2005,17184.0
,2006,17621.0
,2007,17741.0
,2008,18401.0
,2009,18314.0
,2010,18862.0
,2011,18660.0
,2012,19429.0
,2013,19183.0
,2014,18928.0
,2015,18626.0
,2016,20078.0
,2017,19343.0
,2018,20296.0
,2019,20474.0
RI,2005,51458.0
RI,2006,51814.0
RI,2007,53568.0
RI,2008,55701.0
RI,2009,54119.0
RI,2010,52254.0
RI,2011,53636.0
RI,2012,54554.0
RI,2013,55902.0
RI,2014,54891.0
RI,2015,58073.0
RI,2016,60596.0
RI,2017,63870.0
RI,2018,64340.0
RI,2019,71169.0
SC,2005,39316.0
SC,2006,41100.0
SC,2007,43329.0
SC,2008,44625.0
SC,2009,42442.0
SC,2010,42018.0
SC,2011,42367.0
SC,2012,43107.0
SC,2013,44163.0
SC,2014,45238.0
SC,2015,47238.0
SC,2016,49501.0
SC,2017,50570.0
SC,2018,52306.0
SC,2019,56227.0
SD,2005,40310.0
SD,2006,42791.0
SD,2007,43424.0
SD,2008,46032.0
SD,2009,45043.0
SD,2010,45904.0
SD,2011,48321.0
SD,2012,48362.0
SD,2013,48947.0
SD,2014,50979.0
SD,2015,53017.0
SD,2016,54467.0
SD,2017,56521.0
SD,2018,56274.0
SD,2019,59533.0
TN,2005,38874.0
TN,2006,40315.0
TN,2007,42367.0
TN,2008,43614.0
TN,2009,41725.0
