state,year,household_renter_occ,total_households,household_renter_occ_ratio,household_owner_occ_ratio
DC,2013,350637.0,606151.0,0.5784647719792593,0.4215352280207407
DC,2014,351918.0,618600.0,0.568894277400582,0.431105722599418
DC,2015,359811.0,632019.0,0.56930408737712,0.43069591262288
DC,2016,375005.0,641401.0,0.5846654433030195,0.4153345566969805
DC,2017,356457.0,654037.0,0.5450104504791013,0.4549895495208986
DC,2018,363940.0,662826.0,0.54907321076723,0.4509267892327699
DC,2019,359643.0,666891.0,0.539283031259981,0.460716968740019
FL,2005,5143308.0,17382511.0,0.2958898170695822,0.7041101829304178
FL,2006,5109583.0,17677671.0,0.2890416390258649,0.7109583609741351
FL,2007,5180814.0,17835596.0,0.2904760794088406,0.7095239205911594
FL,2008,5369822.0,17902549.0,0.2999473426940487,0.7000526573059512
FL,2009,5710471.0,18105807.0,0.3153944477592189,0.684605552240781
FL,2010,5905275.0,18421617.0,0.3205622503171138,0.6794377496828862
FL,2011,6244329.0,18635836.0,0.3350710426943014,0.6649289573056986
FL,2012,6582950.0,18892438.0,0.3484436471354306,0.6515563528645694
FL,2013,6867204.0,19126980.0,0.3590323197912059,0.640967680208794
FL,2014,7134395.0,19461834.0,0.3665838995441026,0.6334161004558974
FL,2015,7313210.0,19840623.0,0.3685978005831772,0.6314021994168227
FL,2016,7357755.0,20178722.0,0.3646293853495776,0.6353706146504223
FL,2017,7253700.0,20556254.0,0.352870712728107,0.647129287271893
FL,2018,7152202.0,20868964.0,0.3427195523457705,0.6572804476542295
FL,2019,7086203.0,21047762.0,0.3366725165364375,0.6633274834635625
GA,2005,2768254.0,8821142.0,0.3138203647554931,0.6861796352445069
GA,2006,2812980.0,9091010.0,0.3094243653895441,0.6905756346104559
GA,2007,2799809.0,9282562.0,0.301620285434129,0.698379714565871
GA,2008,2933094.0,9415488.0,0.3115180009788127,0.6884819990211872
GA,2009,3069227.0,9551937.0,0.3213198537636921,0.6786801462363079
GA,2010,3170276.0,9459388.0,0.3351459946457424,0.6648540053542575
GA,2011,3341693.0,9558759.0,0.3495948584957524,0.6504051415042476
GA,2012,3435481.0,9655318.0,0.3558123098586706,0.6441876901413294
GA,2013,3558243.0,9731466.0,0.365643059329396,0.634356940670604
GA,2014,3632241.0,9835687.0,0.3692920484354575,0.6307079515645424
GA,2015,3719701.0,9954496.0,0.3736704500157516,0.6263295499842483
GA,2016,3779087.0,10053466.0,0.3758989188405272,0.6241010811594727
GA,2017,3648492.0,10170586.0,0.3587297723061385,0.6412702276938615
GA,2018,3560709.0,10254913.0,0.3472198155167186,0.6527801844832813
GA,2019,3504188.0,10350583.0,0.3385498188845981,0.6614501811154019
HI,2005,458475.0,1238158.0,0.3702879600180268,0.6297120399819732
HI,2006,464552.0,1247951.0,0.3722517951425977,0.6277482048574022
HI,2007,465537.0,1247553.0,0.3731600982082524,0.6268399017917475
HI,2008,487202.0,1253999.0,0.3885186511313007,0.6114813488686992
HI,2009,502392.0,1260211.0,0.3986570502876105,0.6013429497123894
HI,2010,508739.0,1320741.0,0.3851921004951008,0.6148078995048991
HI,2011,527117.0,1331912.0,0.3957596297653298,0.6042403702346701
HI,2012,545496.0,1348497.0,0.4045214783570152,0.5954785216429848
HI,2013,563428.0,1360772.0,0.4140502597055201,0.5859497402944799
HI,2014,555616.0,1375345.0,0.4039830006289331,0.5960169993710669
HI,2015,569067.0,1387570.0,0.4101176877562933,0.5898823122437067
HI,2016,560385.0,1384270.0,0.4048234809683082,0.5951765190316918
HI,2017,527421.0,1383103.0,0.3813316867941144,0.6186683132058857
HI,2018,539918.0,1376737.0,0.3921722158988971,0.6078277841011028
HI,2019,506026.0,1372954.0,0.3685673372887948,0.6314326627112052
ID,2005,366227.0,1395634.0,0.262409055669323,0.737590944330677
ID,2006,384971.0,1432664.0,0.2687098998788271,0.7312901001211729
